Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), point time stamp (ns), frame time stamp (s), frame time stamp (us), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.66, 1718, 14.051, 42.2384, -4.63523, 12739, 1684951308, 129913, 3866, 0, 255, 0, 49393, FIRST_ECHO, 880, 2525, 0, 0, 0, 17820
10.10.10.66, 1718, 8.85883, 42.2384, -4.63523, 12739, 1684951308, 129913, 43, 0, 255, 0, 49394, SECOND_ECHO, 880, 2525, 0, 0, 0, 17820
10.10.10.66, 1718, 12.0546, 32.3205, -4.78993, 13389, 1684951308, 129913, 1305, 0, 255, 0, 49265, FIRST_ECHO, 880, 2221, 0, 34, 149, 6500
10.10.10.66, 1718, 13.2141, 29.2094, -4.83003, 13523, 1684951308, 129913, 1230, 0, 255, 0, 49201, FIRST_ECHO, 880, 2125, 0, 34, 144, 1340
10.10.10.66, 1718, 15.317, 25.7831, -4.87014, 13655, 1684951308, 129913, 1860, 0, 255, 0, 49201, FIRST_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1718, 14.0112, 25.7831, -4.87014, 13655, 1684951308, 129913, 294, 0, 255, 0, 49202, SECOND_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1718, 17.3826, 16.5642, -4.95036, 13963, 1684951308, 129913, 2756, 0, 255, 0, 49169, FIRST_ECHO, 880, 1749, 0, 33, 120, 3080
10.10.10.66, 1718, 19.7447, 12.3931, -4.97327, 14089, 1684951308, 129913, 1614, 0, 255, 0, 49169, FIRST_ECHO, 880, 1629, 0, 33, 112, 1260
10.10.10.66, 1718, 19.0383, 7.85525, -4.99046, 14220, 1684951308, 129913, 2254, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1501, 0, 32, 102, 1310
10.10.10.66, 1718, 18.379, 3.32316, -4.99619, 14348, 1684951308, 129913, 1170, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1373, 0, 32, 92, 1280
10.10.10.66, 1718, 18.1137, -1.2777, -5.00192, 14476, 1684951308, 129913, 707, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1245, 0, 31, 81, 1280
10.10.10.66, 1718, 17.7791, -12.0894, -4.97327, 14782, 1684951308, 129913, 661, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 941, 0, 31, 56, 3060
10.10.10.66, 1718, 17.7011, -16.5642, -4.95036, 14917, 1684951308, 129913, 764, 0, 255, 0, 49169, FIRST_ECHO, 880, 813, 0, 31, 47, 1350
10.10.10.66, 1718, 17.699, -20.6666, -4.91598, 15048, 1684951308, 129913, 513, 0, 255, 0, 49169, FIRST_ECHO, 880, 693, 0, 31, 39, 1310
10.10.10.66, 1718, 17.6524, -24.4538, -4.88733, 15177, 1684951308, 129913, 618, 0, 255, 0, 49169, FIRST_ECHO, 880, 581, 0, 31, 32, 1290
10.10.10.66, 1718, 17.9135, -33.3404, -4.77847, 15537, 1684951308, 129913, 443, 0, 255, 0, 49169, FIRST_ECHO, 880, 309, 0, 31, 16, 3600
10.10.10.66, 1718, 18.0153, -35.9302, -4.73836, 15668, 1684951308, 129913, 458, 0, 255, 0, 49169, FIRST_ECHO, 880, 229, 0, 31, 12, 1310
10.10.10.66, 1718, 14.9611, -42.5249, -4.63523, 16169, 1684951308, 129913, 1197, 0, 255, 0, 49169, FIRST_ECHO, 880, 29, 0, 30, 2, 5010
10.10.10.66, 1718, 14.9396, -41.9577, -4.64096, 16780, 1684951308, 129913, 307, 0, 255, 0, 49169, FIRST_ECHO, 880, 45, 0, 30, 2, 6110
10.10.10.66, 1718, 17.9903, -36.2052, -4.73836, 17200, 1684951308, 129913, 408, 0, 255, 0, 49169, FIRST_ECHO, 880, 221, 0, 31, 11, 4200
10.10.10.66, 1718, 17.9165, -33.6154, -4.77274, 17332, 1684951308, 129913, 370, 0, 255, 0, 49169, FIRST_ECHO, 880, 301, 0, 31, 15, 1320
10.10.10.66, 1718, 17.6098, -23.646, -4.89306, 17734, 1684951308, 129913, 617, 0, 255, 0, 49169, FIRST_ECHO, 880, 605, 0, 31, 33, 4019
10.10.10.66, 1718, 17.6467, -19.8415, -4.92744, 17861, 1684951308, 129913, 775, 0, 255, 0, 49169, FIRST_ECHO, 880, 717, 0, 31, 40, 1270
10.10.10.66, 1718, 17.671, -15.7277, -4.95608, 17991, 1684951308, 129913, 806, 0, 255, 0, 49169, FIRST_ECHO, 880, 837, 0, 31, 49, 1300
10.10.10.66, 1718, 17.7897, -11.2357, -4.979, 18124, 1684951308, 129913, 651, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 965, 0, 31, 58, 1330
10.10.10.66, 1718, 17.8539, -6.73798, -4.99046, 18254, 1684951308, 129913, 795, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1093, 0, 31, 68, 1300
10.10.10.66, 1718, 18.4406, 4.18832, -4.99619, 18558, 1684951308, 129913, 1867, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1397, 0, 32, 94, 3040
10.10.10.66, 1718, 19.0648, 8.71469, -4.98473, 18686, 1684951308, 129913, 2617, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1525, 0, 32, 104, 1280
10.10.10.66, 1718, 19.8497, 13.2411, -4.96754, 18817, 1684951308, 129913, 2786, 0, 255, 0, 49169, FIRST_ECHO, 880, 1653, 0, 33, 114, 1310
10.10.10.66, 1718, 17.9827, 17.4007, -4.94463, 18944, 1684951308, 129913, 5580, 0, 255, 0, 49169, FIRST_ECHO, 880, 1773, 0, 33, 122, 1270
10.10.10.66, 1718, 15.0703, 25.5024, -4.87587, 19217, 1684951308, 129913, 627, 0, 255, 0, 49201, FIRST_ECHO, 880, 2013, 0, 34, 137, 2730
10.10.10.66, 1718, 12.5891, 25.5024, -4.87587, 19217, 1684951308, 129913, 170, 0, 255, 0, 49202, SECOND_ECHO, 880, 2013, 0, 34, 137, 2730
10.10.10.66, 1718, 13.3443, 28.9286, -4.83576, 19348, 1684951308, 129913, 588, 0, 255, 0, 49201, FIRST_ECHO, 880, 2117, 0, 34, 143, 1310
10.10.10.66, 1718, 11.8718, 32.0914, -4.79566, 19481, 1684951308, 129913, 922, 0, 255, 0, 49201, FIRST_ECHO, 880, 2213, 0, 34, 149, 1330
10.10.10.66, 1718, 14.0329, 42.0035, -4.64096, 20110, 1684951308, 129913, 2402, 0, 255, 0, 49201, FIRST_ECHO, 880, 2517, 0, 35, 164, 6290
10.10.10.66, 1718, 9.01399, 42.0035, -4.64096, 20110, 1684951308, 129913, 108, 0, 255, 0, 49202, SECOND_ECHO, 880, 2517, 0, 35, 164, 6290
10.10.10.66, 1718, 14.1807, 41.7171, -4.64669, 20802, 1684951308, 129913, 3739, 0, 255, 0, 49201, FIRST_ECHO, 880, 2509, 0, 35, 163, 6920
10.10.10.66, 1718, 9.19224, 41.7171, -4.64669, 20802, 1684951308, 129913, 130, 0, 255, 0, 49202, SECOND_ECHO, 880, 2509, 0, 35, 163, 6920
10.10.10.66, 1718, 16.0196, 32.8763, -4.7842, 21366, 1684951308, 129913, 495, 0, 255, 0, 49201, FIRST_ECHO, 880, 2237, 0, 34, 150, 5640
10.10.10.66, 1718, 12.7479, 32.8763, -4.7842, 21366, 1684951308, 129913, 204, 0, 255, 0, 49202, SECOND_ECHO, 880, 2237, 0, 34, 150, 5640
10.10.10.66, 1718, 12.2704, 30.0058, -4.8243, 21491, 1684951308, 129913, 576, 0, 255, 0, 49265, FIRST_ECHO, 880, 2149, 0, 34, 145, 1250
10.10.10.66, 1718, 13.5474, 26.5852, -4.86441, 21625, 1684951308, 129913, 2403, 0, 255, 0, 49169, FIRST_ECHO, 880, 2045, 0, 34, 139, 1340
10.10.10.66, 1718, 18.8149, 16.3178, -4.95036, 21972, 1684951308, 129913, 9458, 0, 255, 0, 49169, FIRST_ECHO, 880, 1741, 0, 33, 120, 3470
10.10.10.66, 1718, 19.6187, 12.141, -4.97327, 22098, 1684951308, 129913, 2692, 0, 255, 0, 49169, FIRST_ECHO, 880, 1621, 0, 32, 111, 1260
10.10.10.66, 1718, 18.858, 7.60315, -4.99046, 22228, 1684951308, 129913, 1933, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1493, 0, 32, 101, 1300
10.10.10.66, 1718, 18.2605, 3.01376, -5.00192, 22356, 1684951308, 129913, 1186, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1365, 0, 32, 91, 1280
10.10.10.66, 1718, 17.9918, -1.58136, -5.00192, 22484, 1684951308, 129913, 859, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1237, 0, 31, 80, 1280
10.10.10.66, 1718, 17.6724, -12.3931, -4.97327, 22791, 1684951308, 129913, 792, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 933, 0, 31, 56, 3070
10.10.10.66, 1718, 17.6128, -16.8621, -4.94463, 22925, 1684951308, 129913, 793, 0, 255, 0, 49169, FIRST_ECHO, 880, 805, 0, 31, 46, 1340
10.10.10.66, 1718, 17.5958, -20.9588, -4.91598, 23057, 1684951308, 129913, 654, 0, 255, 0, 49169, FIRST_ECHO, 880, 685, 0, 31, 38, 1320
10.10.10.66, 1718, 17.5818, -24.6945, -4.8816, 23186, 1684951308, 129913, 688, 0, 255, 0, 49169, FIRST_ECHO, 880, 573, 0, 31, 31, 1290
10.10.10.66, 1718, 17.7797, -32.5555, -4.78993, 23501, 1684951308, 129913, 553, 0, 255, 0, 49169, FIRST_ECHO, 880, 333, 0, 31, 17, 3150
10.10.10.66, 1718, 17.9222, -35.4202, -4.74982, 23640, 1684951308, 129913, 533, 0, 255, 0, 49169, FIRST_ECHO, 880, 245, 0, 31, 12, 1390
10.10.10.66, 1718, 17.9433, -35.1911, -4.74982, 25255, 1684951308, 129913, 425, 0, 255, 0, 49169, FIRST_ECHO, 880, 253, 0, 31, 13, 16149
10.10.10.66, 1718, 17.7962, -32.3205, -4.78993, 25392, 1684951308, 129913, 501, 0, 255, 0, 49169, FIRST_ECHO, 880, 341, 0, 31, 18, 1370
10.10.10.66, 1718, 17.6509, -27.3358, -4.85295, 25598, 1684951308, 129913, 370, 0, 255, 0, 49169, FIRST_ECHO, 880, 493, 0, 31, 26, 2060
10.10.10.66, 1718, 17.5909, -19.3087, -4.92744, 25879, 1684951308, 129913, 854, 0, 255, 0, 49169, FIRST_ECHO, 880, 733, 0, 31, 41, 2810
10.10.10.66, 1718, 17.5955, -15.1834, -4.95608, 26008, 1684951308, 129913, 865, 0, 255, 0, 49169, FIRST_ECHO, 880, 853, 0, 31, 50, 1290
10.10.10.66, 1718, 17.7362, -10.6857, -4.979, 26141, 1684951308, 129913, 710, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 981, 0, 31, 59, 1330
10.10.10.66, 1718, 17.8293, -6.12492, -4.99619, 26270, 1684951308, 129913, 842, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1109, 0, 31, 69, 1290
10.10.10.66, 1718, 18.289, 3.57526, -4.99619, 26542, 1684951308, 129913, 1168, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1381, 0, 32, 92, 2720
10.10.10.66, 1718, 18.9235, 8.15892, -4.99046, 26670, 1684951308, 129913, 2503, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1509, 0, 32, 103, 1280
10.10.10.66, 1718, 19.6714, 12.691, -4.97327, 26801, 1684951308, 129913, 1887, 0, 255, 0, 49169, FIRST_ECHO, 880, 1637, 0, 33, 113, 1310
10.10.10.66, 1718, 17.3546, 16.8621, -4.94463, 26927, 1684951308, 129913, 7320, 0, 255, 0, 49169, FIRST_ECHO, 880, 1757, 0, 33, 121, 1260
10.10.10.66, 1718, 15.2412, 26.0696, -4.87014, 27237, 1684951308, 129913, 956, 0, 255, 0, 49201, FIRST_ECHO, 880, 2029, 0, 34, 138, 3100
10.10.10.66, 1718, 13.8635, 26.0696, -4.87014, 27237, 1684951308, 129913, 544, 0, 255, 0, 49202, SECOND_ECHO, 880, 2029, 0, 34, 138, 3100
10.10.10.66, 1718, 13.1878, 29.4901, -4.83003, 27370, 1684951308, 129913, 552, 0, 255, 0, 49201, FIRST_ECHO, 880, 2133, 0, 34, 144, 1330
10.10.10.66, 1718, 11.9644, 32.6013, -4.78993, 27504, 1684951308, 129913, 262, 0, 255, 0, 49201, FIRST_ECHO, 880, 2229, 0, 34, 149, 1340
10.10.10.66, 1718, 14.5668, 41.4821, -4.65242, 28053, 1684951308, 129913, 4464, 0, 255, 0, 49265, FIRST_ECHO, 880, 2501, 0, 35, 163, 5490
10.10.10.66, 1718, 9.16052, 41.4821, -4.65242, 28053, 1684951308, 129913, 112, 0, 255, 0, 49266, SECOND_ECHO, 880, 2501, 0, 35, 163, 5490
10.10.10.66, 1718, 9.18198, 41.1957, -4.65815, 28855, 1684951308, 129913, 342, 0, 255, 0, 49201, FIRST_ECHO, 880, 2493, 0, 35, 163, 8020
10.10.10.66, 1718, 16.039, 33.3863, -4.77847, 29341, 1684951308, 129913, 909, 0, 255, 0, 49201, FIRST_ECHO, 880, 2253, 0, 34, 151, 4860
10.10.10.66, 1718, 13.9012, 33.3863, -4.77847, 29341, 1684951308, 129913, 100, 0, 255, 0, 49202, SECOND_ECHO, 880, 2253, 0, 34, 151, 4860
10.10.10.66, 1718, 12.4739, 30.5157, -4.81857, 29469, 1684951308, 129913, 330, 0, 255, 0, 49169, FIRST_ECHO, 880, 2165, 0, 34, 146, 1280
10.10.10.66, 1718, 13.5947, 22.5917, -4.90452, 29769, 1684951308, 129913, 1362, 0, 255, 0, 49169, FIRST_ECHO, 880, 1925, 0, 33, 132, 3000
10.10.10.66, 1718, 15.5611, 18.7701, -4.93317, 29894, 1684951308, 129913, 5828, 0, 255, 0, 49169, FIRST_ECHO, 880, 1813, 0, 33, 125, 1250
10.10.10.66, 1718, 20.2804, 14.6333, -4.96181, 30023, 1684951308, 129913, 4054, 0, 255, 0, 49169, FIRST_ECHO, 880, 1693, 0, 33, 117, 1290
10.10.10.66, 1718, 19.2768, 10.1299, -4.979, 30155, 1684951308, 129913, 1556, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1565, 0, 32, 107, 1320
10.10.10.66, 1718, 18.0423, -0.716197, -5.00192, 30460, 1684951308, 129913, 974, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1261, 0, 32, 82, 3050
10.10.10.66, 1718, 17.8884, -5.31132, -4.99619, 30588, 1684951308, 129913, 932, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1133, 0, 31, 72, 1280
10.10.10.66, 1718, 17.7302, -9.82623, -4.98473, 30717, 1684951308, 129913, 1087, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1005, 0, 31, 61, 1290
10.10.10.66, 1718, 17.6535, -14.3354, -4.96181, 30849, 1684951308, 129913, 861, 0, 255, 0, 49169, FIRST_ECHO, 880, 877, 0, 31, 51, 1320
10.10.10.66, 1718, 17.5813, -18.4779, -4.93317, 30977, 1684951308, 129913, 1049, 0, 255, 0, 49169, FIRST_ECHO, 880, 757, 0, 31, 43, 1280
10.10.10.66, 1718, 17.7412, -28.6479, -4.84149, 31335, 1684951308, 129913, 532, 0, 255, 0, 49169, FIRST_ECHO, 880, 453, 0, 31, 24, 3580
10.10.10.66, 1718, 17.7593, -31.8163, -4.80139, 31466, 1684951308, 129913, 630, 0, 255, 0, 49169, FIRST_ECHO, 880, 357, 0, 31, 19, 1310
10.10.10.66, 1718, 17.8891, -34.6353, -4.76128, 31600, 1684951308, 129913, 582, 0, 255, 0, 49169, FIRST_ECHO, 880, 269, 0, 31, 14, 1340
