Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), point time stamp (ns), frame time stamp (s), frame time stamp (us), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.66, 1723, 9.68705, 42.2384, -4.63523, 12739, 1684951308, 645312, 392, 0, 255, 0, 49201, FIRST_ECHO, 880, 2525, 0, 0, 0, 17820
10.10.10.66, 1723, 16.9022, 32.3205, -4.78993, 13389, 1684951308, 645312, 4734, 0, 255, 0, 49265, FIRST_ECHO, 880, 2221, 0, 34, 149, 6500
10.10.10.66, 1723, 12.0767, 32.3205, -4.78993, 13389, 1684951308, 645312, 89, 0, 255, 0, 49266, SECOND_ECHO, 880, 2221, 0, 34, 149, 6500
10.10.10.66, 1723, 11.9549, 29.2094, -4.83003, 13523, 1684951308, 645312, 807, 0, 255, 0, 49201, FIRST_ECHO, 880, 2125, 0, 34, 144, 1340
10.10.10.66, 1723, 11.8743, 25.7831, -4.87014, 13655, 1684951308, 645312, 65535, 0, 0, 0, 49377, FIRST_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1723, 17.1266, 16.5642, -4.95036, 13963, 1684951308, 645312, 2505, 0, 255, 0, 49201, FIRST_ECHO, 880, 1749, 0, 33, 120, 3080
10.10.10.66, 1723, 19.7194, 12.3931, -4.97327, 14089, 1684951308, 645312, 1856, 0, 255, 0, 49169, FIRST_ECHO, 880, 1629, 0, 33, 112, 1260
10.10.10.66, 1723, 18.8965, 7.85525, -4.99046, 14220, 1684951308, 645312, 1307, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1501, 0, 32, 102, 1310
10.10.10.66, 1723, 18.2483, 3.32316, -4.99619, 14348, 1684951308, 645312, 1049, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1373, 0, 32, 92, 1280
10.10.10.66, 1723, 18.1571, -1.2777, -5.00192, 14476, 1684951308, 645312, 747, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1245, 0, 31, 81, 1280
10.10.10.66, 1723, 18.0536, -12.0894, -4.97327, 14782, 1684951308, 645312, 658, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 941, 0, 31, 56, 3060
