Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), point time stamp (ns), frame time stamp (s), frame time stamp (us), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.66, 1715, 19.2779, 7.60315, -4.99046, 22228, 1684951307, 817746, 1412, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1493, 0, 32, 101, 1300
10.10.10.66, 1715, 18.7217, 3.01376, -5.00192, 22356, 1684951307, 817746, 1084, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1365, 0, 32, 91, 1280
10.10.10.66, 1715, 18.4977, -1.58136, -5.00192, 22484, 1684951307, 817746, 897, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1237, 0, 31, 80, 1280
10.10.10.66, 1715, 18.1994, -12.3931, -4.97327, 22791, 1684951307, 817746, 790, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 933, 0, 31, 56, 3070
10.10.10.66, 1715, 18.1818, -16.8621, -4.94463, 22925, 1684951307, 817746, 899, 0, 255, 0, 49169, FIRST_ECHO, 880, 805, 0, 31, 46, 1340
10.10.10.66, 1715, 18.0996, -20.9588, -4.91598, 23057, 1684951307, 817746, 571, 0, 255, 0, 49169, FIRST_ECHO, 880, 685, 0, 31, 38, 1320
10.10.10.66, 1715, 18.152, -24.6945, -4.8816, 23186, 1684951307, 817746, 634, 0, 255, 0, 49169, FIRST_ECHO, 880, 573, 0, 31, 31, 1290
10.10.10.66, 1715, 18.2567, -27.3358, -4.85295, 25598, 1684951307, 817746, 393, 0, 255, 0, 49169, FIRST_ECHO, 880, 493, 0, 31, 26, 2060
10.10.10.66, 1715, 18.1243, -19.3087, -4.92744, 25879, 1684951307, 817746, 771, 0, 255, 0, 49169, FIRST_ECHO, 880, 733, 0, 31, 41, 2810
10.10.10.66, 1715, 18.1424, -15.1834, -4.95608, 26008, 1684951307, 817746, 840, 0, 255, 0, 49169, FIRST_ECHO, 880, 853, 0, 31, 50, 1290
10.10.10.66, 1715, 18.2473, -10.6857, -4.979, 26141, 1684951307, 817746, 685, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 981, 0, 31, 59, 1330
10.10.10.66, 1715, 18.3383, -6.12492, -4.99619, 26270, 1684951307, 817746, 859, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1109, 0, 31, 69, 1290
10.10.10.66, 1715, 18.7637, 3.57526, -4.99619, 26542, 1684951307, 817746, 1337, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1381, 0, 32, 92, 2720
10.10.10.66, 1715, 19.322, 8.15892, -4.99046, 26670, 1684951307, 817746, 1793, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1509, 0, 32, 103, 1280
10.10.10.66, 1715, 20.0643, 12.691, -4.97327, 26801, 1684951307, 817746, 1518, 0, 255, 0, 49169, FIRST_ECHO, 880, 1637, 0, 33, 113, 1310
10.10.10.66, 1715, 19.8828, 16.8621, -4.94463, 26927, 1684951307, 817746, 1199, 0, 255, 0, 49201, FIRST_ECHO, 880, 1757, 0, 33, 121, 1260
10.10.10.66, 1715, 15.771, 16.8621, -4.94463, 26927, 1684951307, 817746, 555, 0, 255, 0, 49202, SECOND_ECHO, 880, 1757, 0, 33, 121, 1260
10.10.10.66, 1715, 19.2465, 26.0696, -4.87014, 27237, 1684951307, 817746, 3332, 0, 255, 0, 49201, FIRST_ECHO, 880, 2029, 0, 34, 138, 3100
10.10.10.66, 1715, 13.5772, 26.0696, -4.87014, 27237, 1684951307, 817746, 320, 0, 255, 0, 49202, SECOND_ECHO, 880, 2029, 0, 34, 138, 3100
10.10.10.66, 1715, 17.5012, 29.4901, -4.83003, 27370, 1684951307, 817746, 4534, 0, 255, 0, 49169, FIRST_ECHO, 880, 2133, 0, 34, 144, 1330
10.10.10.66, 1715, 16.6015, 32.6013, -4.78993, 27504, 1684951307, 817746, 4276, 0, 255, 0, 49169, FIRST_ECHO, 880, 2229, 0, 34, 149, 1340
10.10.10.66, 1715, 14.3055, 41.4821, -4.65242, 28053, 1684951307, 817746, 8138, 0, 255, 0, 49393, FIRST_ECHO, 880, 2501, 0, 35, 163, 5490
10.10.10.66, 1715, 14.4257, 41.1957, -4.65815, 28855, 1684951307, 817746, 2283, 0, 255, 0, 49169, FIRST_ECHO, 880, 2493, 0, 35, 163, 8020
10.10.10.66, 1715, 17.1048, 33.3863, -4.77847, 29341, 1684951307, 817746, 4397, 0, 255, 0, 49169, FIRST_ECHO, 880, 2253, 0, 34, 151, 4860
10.10.10.66, 1715, 17.0989, 30.5157, -4.81857, 29469, 1684951307, 817746, 2726, 0, 255, 0, 49169, FIRST_ECHO, 880, 2165, 0, 34, 146, 1280
10.10.10.66, 1715, 18.0801, 22.5917, -4.90452, 29769, 1684951307, 817746, 1771, 0, 255, 0, 49265, FIRST_ECHO, 880, 1925, 0, 33, 132, 3000
10.10.10.66, 1715, 12.8156, 22.5917, -4.90452, 29769, 1684951307, 817746, 153, 0, 255, 0, 49266, SECOND_ECHO, 880, 1925, 0, 33, 132, 3000
10.10.10.66, 1715, 16.466, 22.5917, -4.90452, 29769, 1684951307, 817746, 209, 0, 255, 0, 49268, THIRD_ECHO, 880, 1925, 0, 33, 132, 3000
10.10.10.66, 1715, 18.5737, 18.7701, -4.93317, 29894, 1684951307, 817746, 6580, 0, 255, 0, 49169, FIRST_ECHO, 880, 1813, 0, 33, 125, 1250
10.10.10.66, 1715, 20.4364, 14.6333, -4.96181, 30023, 1684951307, 817746, 3390, 0, 255, 0, 49169, FIRST_ECHO, 880, 1693, 0, 33, 117, 1290
10.10.10.66, 1715, 19.6763, 10.1299, -4.979, 30155, 1684951307, 817746, 1284, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1565, 0, 32, 107, 1320
10.10.10.66, 1715, 18.5197, -0.716197, -5.00192, 30460, 1684951307, 817746, 971, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1261, 0, 32, 82, 3050
10.10.10.66, 1715, 18.3826, -5.31132, -4.99619, 30588, 1684951307, 817746, 1027, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1133, 0, 31, 72, 1280
10.10.10.66, 1715, 18.2302, -9.82623, -4.98473, 30717, 1684951307, 817746, 1153, 0, 255, 0, 1073791073, FIRST_ECHO, 880, 1005, 0, 31, 61, 1290
10.10.10.66, 1715, 18.1969, -14.3354, -4.96181, 30849, 1684951307, 817746, 993, 0, 255, 0, 49169, FIRST_ECHO, 880, 877, 0, 31, 51, 1320
10.10.10.66, 1715, 18.1382, -18.4779, -4.93317, 30977, 1684951307, 817746, 1013, 0, 255, 0, 49169, FIRST_ECHO, 880, 757, 0, 31, 43, 1280
10.10.10.66, 1715, 18.2919, -28.6479, -4.84149, 31335, 1684951307, 817746, 590, 0, 255, 0, 49169, FIRST_ECHO, 880, 453, 0, 31, 24, 3580
10.10.10.66, 1715, 12.5268, -31.8163, -4.80139, 31466, 1684951307, 817746, 244, 0, 255, 0, 49169, FIRST_ECHO, 880, 357, 0, 31, 19, 1310
10.10.10.66, 1715, 18.3444, -29.9542, -4.8243, 33494, 1684951307, 817746, 352, 0, 255, 0, 49169, FIRST_ECHO, 880, 413, 0, 31, 22, 3830
10.10.10.66, 1715, 18.2681, -26.5394, -4.86441, 33628, 1684951307, 817746, 387, 0, 255, 0, 49169, FIRST_ECHO, 880, 517, 0, 31, 28, 1340
10.10.10.66, 1715, 18.1575, -22.8324, -4.89879, 33762, 1684951307, 817746, 626, 0, 255, 0, 49169, FIRST_ECHO, 880, 629, 0, 31, 35, 1340
10.10.10.66, 1715, 18.2117, -13.4932, -4.96754, 34058, 1684951307, 817746, 974, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 901, 0, 31, 53, 2960
10.10.10.66, 1715, 18.3428, -8.96679, -4.98473, 34190, 1684951307, 817746, 774, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1029, 0, 31, 63, 1320
10.10.10.66, 1715, 18.4362, -4.44615, -4.99619, 34318, 1684951307, 817746, 946, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1157, 0, 31, 73, 1280
10.10.10.66, 1715, 18.6143, 0.148969, -5.00192, 34446, 1684951307, 817746, 1008, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1285, 0, 32, 84, 1280
10.10.10.66, 1715, 18.8321, 4.74982, -4.99619, 34574, 1684951307, 817746, 15557, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1413, 0, 32, 95, 1280
10.10.10.66, 1715, 19.3706, 15.4813, -4.95608, 34885, 1684951307, 817746, 6526, 0, 255, 0, 49169, FIRST_ECHO, 880, 1717, 0, 33, 118, 3110
10.10.10.66, 1715, 18.2753, 19.6009, -4.92744, 35014, 1684951307, 817746, 9849, 0, 255, 0, 49169, FIRST_ECHO, 880, 1837, 0, 33, 126, 1290
10.10.10.66, 1715, 18.8781, 23.4053, -4.89306, 35141, 1684951307, 817746, 1577, 0, 255, 0, 49201, FIRST_ECHO, 880, 1949, 0, 33, 134, 1270
10.10.10.66, 1715, 14.2318, 23.4053, -4.89306, 35141, 1684951307, 817746, 333, 0, 255, 0, 49202, SECOND_ECHO, 880, 1949, 0, 33, 134, 1270
10.10.10.66, 1715, 16.8625, 30.235, -4.81857, 35402, 1684951307, 817746, 4433, 0, 255, 0, 49169, FIRST_ECHO, 880, 2157, 0, 34, 146, 2610
10.10.10.66, 1715, 16.6291, 33.1112, -4.77847, 35528, 1684951307, 817746, 11413, 0, 255, 0, 49169, FIRST_ECHO, 880, 2245, 0, 34, 150, 1260
10.10.10.66, 1715, 14.3327, 40.9149, -4.65815, 36003, 1684951307, 817746, 8457, 0, 255, 0, 49169, FIRST_ECHO, 880, 2485, 0, 35, 162, 4750
10.10.10.66, 1715, 14.7298, 40.68, -4.66388, 36902, 1684951307, 817746, 6513, 0, 255, 0, 49169, FIRST_ECHO, 880, 2477, 0, 35, 162, 8990
10.10.10.66, 1715, 16.0286, 33.8962, -4.77274, 37317, 1684951307, 817746, 6966, 0, 255, 0, 49169, FIRST_ECHO, 880, 2269, 0, 35, 152, 4150
10.10.10.66, 1715, 16.8122, 31.0257, -4.80712, 37447, 1684951307, 817746, 8210, 0, 255, 0, 49169, FIRST_ECHO, 880, 2181, 0, 34, 147, 1300
10.10.10.66, 1715, 18.1325, 22.0646, -4.90452, 37787, 1684951307, 817746, 9223, 0, 255, 0, 49169, FIRST_ECHO, 880, 1909, 0, 33, 131, 3400
10.10.10.66, 1715, 17.6601, 17.9393, -4.9389, 37920, 1684951307, 817746, 2696, 0, 255, 0, 49201, FIRST_ECHO, 880, 1789, 0, 33, 123, 1330
10.10.10.66, 1715, 15.7957, 17.9393, -4.9389, 37920, 1684951307, 817746, 585, 0, 255, 0, 49202, SECOND_ECHO, 880, 1789, 0, 33, 123, 1330
