Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), point time stamp (ns), frame time stamp (s), frame time stamp (us), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.66, 1722, 9.0782, 42.2384, -4.63523, 12739, 1684951308, 544081, 1614, 0, 255, 0, 49393, FIRST_ECHO, 880, 2525, 0, 0, 0, 17820
10.10.10.66, 1722, 10.9969, 32.3205, -4.78993, 13389, 1684951308, 544081, 2004, 0, 255, 0, 49169, FIRST_ECHO, 880, 2221, 0, 34, 149, 6500
10.10.10.66, 1722, 11.7477, 29.2094, -4.83003, 13523, 1684951308, 544081, 546, 0, 255, 0, 49265, FIRST_ECHO, 880, 2125, 0, 34, 144, 1340
10.10.10.66, 1722, 16.2593, 25.7831, -4.87014, 13655, 1684951308, 544081, 388, 0, 255, 0, 49201, FIRST_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1722, 13.2513, 25.7831, -4.87014, 13655, 1684951308, 544081, 244, 0, 255, 0, 49202, SECOND_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1722, 17.9731, 16.5642, -4.95036, 13963, 1684951308, 544081, 1256, 0, 255, 0, 49201, FIRST_ECHO, 880, 1749, 0, 33, 120, 3080
10.10.10.66, 1722, 15.7296, 16.5642, -4.95036, 13963, 1684951308, 544081, 256, 0, 255, 0, 49202, SECOND_ECHO, 880, 1749, 0, 33, 120, 3080
10.10.10.66, 1722, 19.8977, 12.3931, -4.97327, 14089, 1684951308, 544081, 1597, 0, 255, 0, 49169, FIRST_ECHO, 880, 1629, 0, 33, 112, 1260
10.10.10.66, 1722, 19.0737, 7.85525, -4.99046, 14220, 1684951308, 544081, 1405, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1501, 0, 32, 102, 1310
10.10.10.66, 1722, 18.42, 3.32316, -4.99619, 14348, 1684951308, 544081, 1005, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1373, 0, 32, 92, 1280
10.10.10.66, 1722, 18.3133, -1.2777, -5.00192, 14476, 1684951308, 544081, 763, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1245, 0, 31, 81, 1280
