Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), point time stamp (ns), frame time stamp (s), frame time stamp (us), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.66, 1717, 13.5576, 42.2384, -4.63523, 12739, 1684951308, 26527, 3599, 0, 255, 0, 49393, FIRST_ECHO, 880, 2525, 0, 0, 0, 17820
10.10.10.66, 1717, 16.5493, 32.3205, -4.78993, 13389, 1684951308, 26527, 4538, 0, 255, 0, 49201, FIRST_ECHO, 880, 2221, 0, 34, 149, 6500
10.10.10.66, 1717, 11.2357, 32.3205, -4.78993, 13389, 1684951308, 26527, 75, 0, 255, 0, 49202, SECOND_ECHO, 880, 2221, 0, 34, 149, 6500
10.10.10.66, 1717, 14.735, 29.2094, -4.83003, 13523, 1684951308, 26527, 467, 0, 255, 0, 49201, FIRST_ECHO, 880, 2125, 0, 34, 144, 1340
10.10.10.66, 1717, 14.4078, 25.7831, -4.87014, 13655, 1684951308, 26527, 4391, 0, 255, 0, 49169, FIRST_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1717, 18.285, 16.5642, -4.95036, 13963, 1684951308, 26527, 4092, 0, 255, 0, 49393, FIRST_ECHO, 880, 1749, 0, 33, 120, 3080
10.10.10.66, 1717, 19.8491, 12.3931, -4.97327, 14089, 1684951308, 26527, 1465, 0, 255, 0, 49169, FIRST_ECHO, 880, 1629, 0, 33, 112, 1260
10.10.10.66, 1717, 19.1268, 7.85525, -4.99046, 14220, 1684951308, 26527, 1370, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1501, 0, 32, 102, 1310
10.10.10.66, 1717, 18.4919, 3.32316, -4.99619, 14348, 1684951308, 26527, 1115, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1373, 0, 32, 92, 1280
10.10.10.66, 1717, 18.2477, -1.2777, -5.00192, 14476, 1684951308, 26527, 770, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1245, 0, 31, 81, 1280
10.10.10.66, 1717, 17.9352, -12.0894, -4.97327, 14782, 1684951308, 26527, 683, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 941, 0, 31, 56, 3060
10.10.10.66, 1717, 17.8454, -16.5642, -4.95036, 14917, 1684951308, 26527, 833, 0, 255, 0, 49169, FIRST_ECHO, 880, 813, 0, 31, 47, 1350
10.10.10.66, 1717, 17.8714, -20.6666, -4.91598, 15048, 1684951308, 26527, 546, 0, 255, 0, 49169, FIRST_ECHO, 880, 693, 0, 31, 39, 1310
10.10.10.66, 1717, 17.838, -24.4538, -4.88733, 15177, 1684951308, 26527, 609, 0, 255, 0, 49169, FIRST_ECHO, 880, 581, 0, 31, 32, 1290
10.10.10.66, 1717, 18.0678, -33.3404, -4.77847, 15537, 1684951308, 26527, 440, 0, 255, 0, 49169, FIRST_ECHO, 880, 309, 0, 31, 16, 3600
