Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), point time stamp (ns), frame time stamp (s), frame time stamp (us), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.66, 1719, 13.8959, 42.2384, -4.63523, 12739, 1684951308, 233476, 1542, 0, 255, 0, 49265, FIRST_ECHO, 880, 2525, 0, 0, 0, 17820
10.10.10.66, 1719, 10.1659, 42.2384, -4.63523, 12739, 1684951308, 233476, 175, 0, 255, 0, 49266, SECOND_ECHO, 880, 2525, 0, 0, 0, 17820
10.10.10.66, 1719, 11.7089, 32.3205, -4.78993, 13389, 1684951308, 233476, 1365, 0, 255, 0, 49201, FIRST_ECHO, 880, 2221, 0, 34, 149, 6500
10.10.10.66, 1719, 12.2549, 29.2094, -4.83003, 13523, 1684951308, 233476, 473, 0, 255, 0, 49201, FIRST_ECHO, 880, 2125, 0, 34, 144, 1340
10.10.10.66, 1719, 19.0893, 25.7831, -4.87014, 13655, 1684951308, 233476, 817, 0, 255, 0, 49265, FIRST_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1719, 15.3582, 25.7831, -4.87014, 13655, 1684951308, 233476, 210, 0, 255, 0, 49266, SECOND_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1719, 13.469, 25.7831, -4.87014, 13655, 1684951308, 233476, 146, 0, 255, 0, 49268, THIRD_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1719, 18.8334, 16.5642, -4.95036, 13963, 1684951308, 233476, 2184, 0, 255, 0, 49201, FIRST_ECHO, 880, 1749, 0, 33, 120, 3080
10.10.10.66, 1719, 16.2273, 16.5642, -4.95036, 13963, 1684951308, 233476, 216, 0, 255, 0, 49202, SECOND_ECHO, 880, 1749, 0, 33, 120, 3080
10.10.10.66, 1719, 19.9848, 12.3931, -4.97327, 14089, 1684951308, 233476, 1737, 0, 255, 0, 49169, FIRST_ECHO, 880, 1629, 0, 33, 112, 1260
10.10.10.66, 1719, 19.2048, 7.85525, -4.99046, 14220, 1684951308, 233476, 1446, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1501, 0, 32, 102, 1310
10.10.10.66, 1719, 18.5418, 3.32316, -4.99619, 14348, 1684951308, 233476, 1026, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1373, 0, 32, 92, 1280
10.10.10.66, 1719, 18.2824, -1.2777, -5.00192, 14476, 1684951308, 233476, 718, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1245, 0, 31, 81, 1280
10.10.10.66, 1719, 17.9602, -12.0894, -4.97327, 14782, 1684951308, 233476, 674, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 941, 0, 31, 56, 3060
10.10.10.66, 1719, 17.8479, -16.5642, -4.95036, 14917, 1684951308, 233476, 800, 0, 255, 0, 49169, FIRST_ECHO, 880, 813, 0, 31, 47, 1350
10.10.10.66, 1719, 17.8527, -20.6666, -4.91598, 15048, 1684951308, 233476, 524, 0, 255, 0, 49169, FIRST_ECHO, 880, 693, 0, 31, 39, 1310
10.10.10.66, 1719, 17.7961, -24.4538, -4.88733, 15177, 1684951308, 233476, 625, 0, 255, 0, 49169, FIRST_ECHO, 880, 581, 0, 31, 32, 1290
10.10.10.66, 1719, 18.0447, -33.3404, -4.77847, 15537, 1684951308, 233476, 450, 0, 255, 0, 49169, FIRST_ECHO, 880, 309, 0, 31, 16, 3600
10.10.10.66, 1719, 18.1038, -35.9302, -4.73836, 15668, 1684951308, 233476, 476, 0, 255, 0, 49169, FIRST_ECHO, 880, 229, 0, 31, 12, 1310
10.10.10.66, 1719, 14.6273, -42.5249, -4.63523, 16169, 1684951308, 233476, 594, 0, 255, 0, 49169, FIRST_ECHO, 880, 29, 0, 30, 2, 5010
10.10.10.66, 1719, 15.2825, -41.9577, -4.64096, 16780, 1684951308, 233476, 299, 0, 255, 0, 49169, FIRST_ECHO, 880, 45, 0, 30, 2, 6110
10.10.10.66, 1719, 18.0896, -36.2052, -4.73836, 17200, 1684951308, 233476, 403, 0, 255, 0, 49169, FIRST_ECHO, 880, 221, 0, 31, 11, 4200
10.10.10.66, 1719, 18.0644, -33.6154, -4.77274, 17332, 1684951308, 233476, 398, 0, 255, 0, 49169, FIRST_ECHO, 880, 301, 0, 31, 15, 1320
10.10.10.66, 1719, 17.7399, -23.646, -4.89306, 17734, 1684951308, 233476, 545, 0, 255, 0, 49169, FIRST_ECHO, 880, 605, 0, 31, 33, 4019
10.10.10.66, 1719, 17.814, -19.8415, -4.92744, 17861, 1684951308, 233476, 606, 0, 255, 0, 49169, FIRST_ECHO, 880, 717, 0, 31, 40, 1270
10.10.10.66, 1719, 17.839, -15.7277, -4.95608, 17991, 1684951308, 233476, 799, 0, 255, 0, 49169, FIRST_ECHO, 880, 837, 0, 31, 49, 1300
10.10.10.66, 1719, 17.9739, -11.2357, -4.979, 18124, 1684951308, 233476, 660, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 965, 0, 31, 58, 1330
10.10.10.66, 1719, 18.0354, -6.73798, -4.99046, 18254, 1684951308, 233476, 835, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1093, 0, 31, 68, 1300
10.10.10.66, 1719, 18.7052, 4.18832, -4.99619, 18558, 1684951308, 233476, 7107, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1397, 0, 32, 94, 3040
10.10.10.66, 1719, 19.2655, 8.71469, -4.98473, 18686, 1684951308, 233476, 2007, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1525, 0, 32, 104, 1280
10.10.10.66, 1719, 20.1544, 13.2411, -4.96754, 18817, 1684951308, 233476, 2672, 0, 255, 0, 49169, FIRST_ECHO, 880, 1653, 0, 33, 114, 1310
10.10.10.66, 1719, 15.9589, 17.4007, -4.94463, 18944, 1684951308, 233476, 3459, 0, 255, 0, 49169, FIRST_ECHO, 880, 1773, 0, 33, 122, 1270
10.10.10.66, 1719, 15.6318, 25.5024, -4.87587, 19217, 1684951308, 233476, 535, 0, 255, 0, 49201, FIRST_ECHO, 880, 2013, 0, 34, 137, 2730
10.10.10.66, 1719, 13.6508, 25.5024, -4.87587, 19217, 1684951308, 233476, 215, 0, 255, 0, 49202, SECOND_ECHO, 880, 2013, 0, 34, 137, 2730
10.10.10.66, 1719, 12.6071, 28.9286, -4.83576, 19348, 1684951308, 233476, 719, 0, 255, 0, 49169, FIRST_ECHO, 880, 2117, 0, 34, 143, 1310
10.10.10.66, 1719, 11.5512, 32.0914, -4.79566, 19481, 1684951308, 233476, 709, 0, 255, 0, 49201, FIRST_ECHO, 880, 2213, 0, 34, 149, 1330
10.10.10.66, 1719, 13.7896, 42.0035, -4.64096, 20110, 1684951308, 233476, 3143, 0, 255, 0, 49201, FIRST_ECHO, 880, 2517, 0, 35, 164, 6290
10.10.10.66, 1719, 10.1435, 42.0035, -4.64096, 20110, 1684951308, 233476, 83, 0, 255, 0, 49202, SECOND_ECHO, 880, 2517, 0, 35, 164, 6290
10.10.10.66, 1719, 13.9661, 41.7171, -4.64669, 20802, 1684951308, 233476, 1677, 0, 255, 0, 49201, FIRST_ECHO, 880, 2509, 0, 35, 163, 6920
10.10.10.66, 1719, 10.1086, 41.7171, -4.64669, 20802, 1684951308, 233476, 194, 0, 255, 0, 49202, SECOND_ECHO, 880, 2509, 0, 35, 163, 6920
10.10.10.66, 1719, 11.6062, 32.8763, -4.7842, 21366, 1684951308, 233476, 2402, 0, 255, 0, 49201, FIRST_ECHO, 880, 2237, 0, 34, 150, 5640
10.10.10.66, 1719, 16.9091, 30.0058, -4.8243, 21491, 1684951308, 233476, 410, 0, 255, 0, 49265, FIRST_ECHO, 880, 2149, 0, 34, 145, 1250
10.10.10.66, 1719, 13.1954, 30.0058, -4.8243, 21491, 1684951308, 233476, 223, 0, 255, 0, 49266, SECOND_ECHO, 880, 2149, 0, 34, 145, 1250
10.10.10.66, 1719, 11.6838, 30.0058, -4.8243, 21491, 1684951308, 233476, 145, 0, 255, 0, 49268, THIRD_ECHO, 880, 2149, 0, 34, 145, 1250
10.10.10.66, 1719, 13.5742, 26.5852, -4.86441, 21625, 1684951308, 233476, 1611, 0, 255, 0, 49169, FIRST_ECHO, 880, 2045, 0, 34, 139, 1340
10.10.10.66, 1719, 17.6738, 16.3178, -4.95036, 21972, 1684951308, 233476, 8762, 0, 255, 0, 49393, FIRST_ECHO, 880, 1741, 0, 33, 120, 3470
10.10.10.66, 1719, 19.8535, 12.141, -4.97327, 22098, 1684951308, 233476, 2182, 0, 255, 0, 49169, FIRST_ECHO, 880, 1621, 0, 32, 111, 1260
10.10.10.66, 1719, 19.0411, 7.60315, -4.99046, 22228, 1684951308, 233476, 1363, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1493, 0, 32, 101, 1300
10.10.10.66, 1719, 18.4198, 3.01376, -5.00192, 22356, 1684951308, 233476, 1225, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1365, 0, 32, 91, 1280
