Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), point time stamp (ns), frame time stamp (s), frame time stamp (us), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.66, 1724, 14.0881, 42.2384, -4.63523, 12739, 1684951308, 749444, 1098, 0, 255, 0, 49393, FIRST_ECHO, 880, 2525, 0, 0, 0, 17820
10.10.10.66, 1724, 9.80274, 42.2384, -4.63523, 12739, 1684951308, 749444, 502, 0, 255, 0, 49394, SECOND_ECHO, 880, 2525, 0, 0, 0, 17820
10.10.10.66, 1724, 10.3817, 32.3205, -4.78993, 13389, 1684951308, 749444, 1786, 0, 255, 0, 49201, FIRST_ECHO, 880, 2221, 0, 34, 149, 6500
10.10.10.66, 1724, 17.543, 29.2094, -4.83003, 13523, 1684951308, 749444, 2298, 0, 255, 0, 49201, FIRST_ECHO, 880, 2125, 0, 34, 144, 1340
10.10.10.66, 1724, 12.7259, 29.2094, -4.83003, 13523, 1684951308, 749444, 161, 0, 255, 0, 49202, SECOND_ECHO, 880, 2125, 0, 34, 144, 1340
10.10.10.66, 1724, 18.4675, 25.7831, -4.87014, 13655, 1684951308, 749444, 949, 0, 255, 0, 49201, FIRST_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1724, 14.2204, 25.7831, -4.87014, 13655, 1684951308, 749444, 566, 0, 255, 0, 49202, SECOND_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1724, 15.6502, 16.5642, -4.95036, 13963, 1684951308, 749444, 1186, 0, 255, 0, 49169, FIRST_ECHO, 880, 1749, 0, 33, 120, 3080
10.10.10.66, 1724, 19.9667, 12.3931, -4.97327, 14089, 1684951308, 749444, 2405, 0, 255, 0, 49169, FIRST_ECHO, 880, 1629, 0, 33, 112, 1260
10.10.10.66, 1724, 19.1018, 7.85525, -4.99046, 14220, 1684951308, 749444, 1377, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1501, 0, 32, 102, 1310
10.10.10.66, 1724, 18.4013, 3.32316, -4.99619, 14348, 1684951308, 749444, 1078, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1373, 0, 32, 92, 1280
10.10.10.66, 1724, 18.2352, -1.2777, -5.00192, 14476, 1684951308, 749444, 773, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1245, 0, 31, 81, 1280
10.10.10.66, 1724, 18.0942, -12.0894, -4.97327, 14782, 1684951308, 749444, 647, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 941, 0, 31, 56, 3060
10.10.10.66, 1724, 18.0293, -16.5642, -4.95036, 14917, 1684951308, 749444, 727, 0, 255, 0, 49169, FIRST_ECHO, 880, 813, 0, 31, 47, 1350
10.10.10.66, 1724, 15.7078, -20.6666, -4.91598, 15048, 1684951308, 749444, 313, 0, 255, 0, 49169, FIRST_ECHO, 880, 693, 0, 31, 39, 1310
10.10.10.66, 1724, 14.2634, -24.4538, -4.88733, 15177, 1684951308, 749444, 1150, 0, 255, 0, 49169, FIRST_ECHO, 880, 581, 0, 31, 32, 1290
10.10.10.66, 1724, 18.4542, -33.3404, -4.77847, 15537, 1684951308, 749444, 414, 0, 255, 0, 49201, FIRST_ECHO, 880, 309, 0, 31, 16, 3600
10.10.10.66, 1724, 12.323, -33.3404, -4.77847, 15537, 1684951308, 749444, 116, 0, 255, 0, 49202, SECOND_ECHO, 880, 309, 0, 31, 16, 3600
10.10.10.66, 1724, 12.6919, -35.9302, -4.73836, 15668, 1684951308, 749444, 246, 0, 255, 0, 49201, FIRST_ECHO, 880, 229, 0, 31, 12, 1310
10.10.10.66, 1724, 14.4289, -42.5249, -4.63523, 16169, 1684951308, 749444, 1503, 0, 255, 0, 49169, FIRST_ECHO, 880, 29, 0, 30, 2, 5010
10.10.10.66, 1724, 14.5859, -41.9577, -4.64096, 16780, 1684951308, 749444, 193, 0, 255, 0, 49169, FIRST_ECHO, 880, 45, 0, 30, 2, 6110
10.10.10.66, 1724, 18.4987, -36.2052, -4.73836, 17200, 1684951308, 749444, 415, 0, 255, 0, 49169, FIRST_ECHO, 880, 221, 0, 31, 11, 4200
10.10.10.66, 1724, 18.4766, -33.6154, -4.77274, 17332, 1684951308, 749444, 401, 0, 255, 0, 49169, FIRST_ECHO, 880, 301, 0, 31, 15, 1320
10.10.10.66, 1724, 14.2494, -23.646, -4.89306, 17734, 1684951308, 749444, 1629, 0, 255, 0, 49201, FIRST_ECHO, 880, 605, 0, 31, 33, 4019
10.10.10.66, 1724, 16.1513, -19.8415, -4.92744, 17861, 1684951308, 749444, 443, 0, 255, 0, 49169, FIRST_ECHO, 880, 717, 0, 31, 40, 1270
10.10.10.66, 1724, 18.0014, -15.7277, -4.95608, 17991, 1684951308, 749444, 769, 0, 255, 0, 49169, FIRST_ECHO, 880, 837, 0, 31, 49, 1300
10.10.10.66, 1724, 18.0676, -11.2357, -4.979, 18124, 1684951308, 749444, 661, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 965, 0, 31, 58, 1330
10.10.10.66, 1724, 18.1311, -6.73798, -4.99046, 18254, 1684951308, 749444, 786, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1093, 0, 31, 68, 1300
10.10.10.66, 1724, 18.3702, 4.18832, -4.99619, 18558, 1684951308, 749444, 12276, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1397, 0, 32, 94, 3040
10.10.10.66, 1724, 19.1406, 8.71469, -4.98473, 18686, 1684951308, 749444, 2108, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1525, 0, 32, 104, 1280
10.10.10.66, 1724, 20.07, 13.2411, -4.96754, 18817, 1684951308, 749444, 3145, 0, 255, 0, 49169, FIRST_ECHO, 880, 1653, 0, 33, 114, 1310
10.10.10.66, 1724, 15.1511, 17.4007, -4.94463, 18944, 1684951308, 749444, 2096, 0, 255, 0, 49169, FIRST_ECHO, 880, 1773, 0, 33, 122, 1270
10.10.10.66, 1724, 12.9843, 25.5024, -4.87587, 19217, 1684951308, 749444, 391, 0, 255, 0, 49201, FIRST_ECHO, 880, 2013, 0, 34, 137, 2730
10.10.10.66, 1724, 17.3041, 28.9286, -4.83576, 19348, 1684951308, 749444, 983, 0, 255, 0, 49201, FIRST_ECHO, 880, 2117, 0, 34, 143, 1310
10.10.10.66, 1724, 13.5198, 28.9286, -4.83576, 19348, 1684951308, 749444, 313, 0, 255, 0, 49202, SECOND_ECHO, 880, 2117, 0, 34, 143, 1310
10.10.10.66, 1724, 10.0392, 32.0914, -4.79566, 19481, 1684951308, 749444, 781, 0, 255, 0, 49201, FIRST_ECHO, 880, 2213, 0, 34, 149, 1330
10.10.10.66, 1724, 9.4201, 42.0035, -4.64096, 20110, 1684951308, 749444, 341, 0, 255, 0, 49201, FIRST_ECHO, 880, 2517, 0, 35, 164, 6290
10.10.10.66, 1724, 14.4546, 41.7171, -4.64669, 20802, 1684951308, 749444, 2769, 0, 255, 0, 49201, FIRST_ECHO, 880, 2509, 0, 35, 163, 6920
10.10.10.66, 1724, 9.42382, 41.7171, -4.64669, 20802, 1684951308, 749444, 100, 0, 255, 0, 49202, SECOND_ECHO, 880, 2509, 0, 35, 163, 6920
10.10.10.66, 1724, 10.6747, 32.8763, -4.7842, 21366, 1684951308, 749444, 1276, 0, 255, 0, 49201, FIRST_ECHO, 880, 2237, 0, 34, 150, 5640
10.10.10.66, 1724, 11.5858, 30.0058, -4.8243, 21491, 1684951308, 749444, 764, 0, 255, 0, 49201, FIRST_ECHO, 880, 2149, 0, 34, 145, 1250
10.10.10.66, 1724, 11.4197, 26.5852, -4.86441, 21625, 1684951308, 749444, 466, 0, 255, 0, 49265, FIRST_ECHO, 880, 2045, 0, 34, 139, 1340
10.10.10.66, 1724, 16.8206, 16.3178, -4.95036, 21972, 1684951308, 749444, 7936, 0, 255, 0, 49393, FIRST_ECHO, 880, 1741, 0, 33, 120, 3470
10.10.10.66, 1724, 19.7017, 12.141, -4.97327, 22098, 1684951308, 749444, 1520, 0, 255, 0, 49169, FIRST_ECHO, 880, 1621, 0, 32, 111, 1260
10.10.10.66, 1724, 18.9193, 7.60315, -4.99046, 22228, 1684951308, 749444, 1226, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1493, 0, 32, 101, 1300
10.10.10.66, 1724, 18.2668, 3.01376, -5.00192, 22356, 1684951308, 749444, 1217, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1365, 0, 32, 91, 1280
10.10.10.66, 1724, 18.126, -1.58136, -5.00192, 22484, 1684951308, 749444, 846, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1237, 0, 31, 80, 1280
10.10.10.66, 1724, 17.9902, -12.3931, -4.97327, 22791, 1684951308, 749444, 743, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 933, 0, 31, 56, 3070
10.10.10.66, 1724, 17.9786, -16.8621, -4.94463, 22925, 1684951308, 749444, 687, 0, 255, 0, 49169, FIRST_ECHO, 880, 805, 0, 31, 46, 1340
10.10.10.66, 1724, 15.5589, -20.9588, -4.91598, 23057, 1684951308, 749444, 339, 0, 255, 0, 49169, FIRST_ECHO, 880, 685, 0, 31, 38, 1320
10.10.10.66, 1724, 14.3257, -24.6945, -4.8816, 23186, 1684951308, 749444, 1312, 0, 255, 0, 49169, FIRST_ECHO, 880, 573, 0, 31, 31, 1290
10.10.10.66, 1724, 18.3002, -32.5555, -4.78993, 23501, 1684951308, 749444, 370, 0, 255, 0, 49169, FIRST_ECHO, 880, 333, 0, 31, 17, 3150
10.10.10.66, 1724, 12.6519, -35.4202, -4.74982, 23640, 1684951308, 749444, 1537, 0, 255, 0, 49169, FIRST_ECHO, 880, 245, 0, 31, 12, 1390
10.10.10.66, 1724, 12.7979, -35.1911, -4.74982, 25255, 1684951308, 749444, 1349, 0, 255, 0, 49169, FIRST_ECHO, 880, 253, 0, 31, 13, 16149
10.10.10.66, 1724, 18.3419, -32.3205, -4.78993, 25392, 1684951308, 749444, 339, 0, 255, 0, 49169, FIRST_ECHO, 880, 341, 0, 31, 18, 1370
10.10.10.66, 1724, 16.4016, -27.3358, -4.85295, 25598, 1684951308, 749444, 148, 0, 255, 0, 49169, FIRST_ECHO, 880, 493, 0, 31, 26, 2060
10.10.10.66, 1724, 18.0086, -19.3087, -4.92744, 25879, 1684951308, 749444, 611, 0, 255, 0, 49169, FIRST_ECHO, 880, 733, 0, 31, 41, 2810
10.10.10.66, 1724, 17.9363, -15.1834, -4.95608, 26008, 1684951308, 749444, 832, 0, 255, 0, 49169, FIRST_ECHO, 880, 853, 0, 31, 50, 1290
10.10.10.66, 1724, 18.01, -10.6857, -4.979, 26141, 1684951308, 749444, 652, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 981, 0, 31, 59, 1330
10.10.10.66, 1724, 18.0795, -6.12492, -4.99619, 26270, 1684951308, 749444, 798, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1109, 0, 31, 69, 1290
10.10.10.66, 1724, 18.3389, 3.57526, -4.99619, 26542, 1684951308, 749444, 1150, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1381, 0, 32, 92, 2720
10.10.10.66, 1724, 18.9847, 8.15892, -4.99046, 26670, 1684951308, 749444, 1718, 0, 255, 0, 1073791073, FIRST_ECHO, 880, 1509, 0, 32, 103, 1280
10.10.10.66, 1724, 19.9167, 12.691, -4.97327, 26801, 1684951308, 749444, 2817, 0, 255, 0, 49169, FIRST_ECHO, 880, 1637, 0, 33, 113, 1310
10.10.10.66, 1724, 15.4598, 16.8621, -4.94463, 26927, 1684951308, 749444, 1543, 0, 255, 0, 49169, FIRST_ECHO, 880, 1757, 0, 33, 121, 1260
10.10.10.66, 1724, 18.4884, 26.0696, -4.87014, 27237, 1684951308, 749444, 997, 0, 255, 0, 49201, FIRST_ECHO, 880, 2029, 0, 34, 138, 3100
10.10.10.66, 1724, 12.9725, 26.0696, -4.87014, 27237, 1684951308, 749444, 305, 0, 255, 0, 49202, SECOND_ECHO, 880, 2029, 0, 34, 138, 3100
10.10.10.66, 1724, 17.3924, 29.4901, -4.83003, 27370, 1684951308, 749444, 1253, 0, 255, 0, 49265, FIRST_ECHO, 880, 2133, 0, 34, 144, 1330
10.10.10.66, 1724, 13.0958, 29.4901, -4.83003, 27370, 1684951308, 749444, 517, 0, 255, 0, 49266, SECOND_ECHO, 880, 2133, 0, 34, 144, 1330
10.10.10.66, 1724, 11.6504, 29.4901, -4.83003, 27370, 1684951308, 749444, 196, 0, 255, 0, 49268, THIRD_ECHO, 880, 2133, 0, 34, 144, 1330
10.10.10.66, 1724, 16.7588, 32.6013, -4.78993, 27504, 1684951308, 749444, 866, 0, 255, 0, 49201, FIRST_ECHO, 880, 2229, 0, 34, 149, 1340
10.10.10.66, 1724, 10.0246, 32.6013, -4.78993, 27504, 1684951308, 749444, 285, 0, 255, 0, 49202, SECOND_ECHO, 880, 2229, 0, 34, 149, 1340
10.10.10.66, 1724, 14.7483, 41.4821, -4.65242, 28053, 1684951308, 749444, 1766, 0, 255, 0, 49201, FIRST_ECHO, 880, 2501, 0, 35, 163, 5490
10.10.10.66, 1724, 9.42883, 41.4821, -4.65242, 28053, 1684951308, 749444, 163, 0, 255, 0, 49202, SECOND_ECHO, 880, 2501, 0, 35, 163, 5490
