Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.48, 42730, 7.12223, 65.0307, -8.47405, 558, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2498, 0, 28, 162, 5210
10.10.10.48, 42730, 7.26377, 62.4409, -8.55426, 281, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2463, 0, 28, 161, 1010
10.10.10.48, 42730, 7.47329, 60.0116, -8.63447, 712, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2428, 0, 28, 159, 840
10.10.10.48, 42730, 7.66449, 57.2729, -8.72615, 407, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2386, 0, 27, 157, 889
10.10.10.48, 42730, 7.97973, 54.2362, -8.82928, 1232, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2337, 0, 27, 154, 910
10.10.10.48, 42730, 8.34401, 50.999, -8.94387, 1772, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2281, 0, 27, 151, 940
10.10.10.48, 42730, 3.79927, 47.9909, -9.05273, 462, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2225, 0, 27, 148, 860
10.10.10.48, 42730, 4.08604, 44.7251, -9.16732, 914, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2162, 0, 27, 145, 889
10.10.10.48, 42730, 4.32416, 41.5681, -9.27046, 615, 0, 255, 0, 49393, FIRST_ECHO, 1078, 2099, 0, 27, 141, 840
10.10.10.48, 42730, 4.90113, 38.1475, -9.38505, 1135, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2029, 0, 27, 137, 880
10.10.10.48, 42730, 5.10863, 34.7212, -9.48245, 1378, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1959, 0, 27, 133, 840
10.10.10.48, 42730, 5.42457, 31.0085, -9.57985, 467, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1882, 0, 26, 128, 889
10.10.10.48, 42730, 6.2904, 27.2613, -9.67153, 1274, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1805, 0, 26, 123, 850
10.10.10.48, 42730, 8.16683, 23.0616, -9.75174, 841, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1721, 0, 26, 117, 900
10.10.10.48, 42730, 8.86051, 18.7873, -9.8205, 1876, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1637, 0, 26, 111, 880
10.10.10.48, 42730, 12.056, 14.4729, -9.87206, 1495, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1553, 0, 25, 104, 860
10.10.10.48, 42730, 11.9224, 10.044, -9.91217, 374, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1469, 0, 25, 98, 850
10.10.10.48, 42730, 11.9227, 5.60926, -9.94082, 399, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1385, 0, 25, 91, 840
10.10.10.48, 42730, 11.9875, 1.08862, -9.95228, 336, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1301, 0, 25, 84, 840
10.10.10.48, 42730, 12.0253, -3.37472, -9.94655, 347, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1217, 0, 25, 77, 840
10.10.10.48, 42730, 12.1079, -7.8839, -9.92936, 382, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1133, 0, 25, 70, 840
10.10.10.48, 42730, 12.1091, -12.3415, -9.89498, 316, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1049, 0, 25, 63, 840
10.10.10.48, 42730, 12.119, -16.6903, -9.84914, 438, 0, 255, 0, 49169, FIRST_ECHO, 1078, 965, 0, 25, 57, 860
10.10.10.48, 42730, 12.1414, -21.0104, -9.78612, 339, 0, 255, 0, 49169, FIRST_ECHO, 1078, 881, 0, 25, 50, 870
10.10.10.48, 42730, 12.1835, -25.193, -9.71163, 7687, 0, 255, 0, 49265, FIRST_ECHO, 1078, 797, 0, 25, 44, 889
10.10.10.48, 42730, 12.2805, -29.0203, -9.63142, 330, 0, 255, 0, 49169, FIRST_ECHO, 1078, 720, 0, 25, 39, 840
10.10.10.48, 42730, 12.3722, -32.7503, -9.53975, 354, 0, 255, 0, 49169, FIRST_ECHO, 1078, 643, 0, 26, 34, 860
10.10.10.48, 42730, 12.513, -36.4573, -9.43089, 405, 0, 255, 0, 49169, FIRST_ECHO, 1078, 566, 0, 26, 30, 900
10.10.10.48, 42730, 12.579, -39.9008, -9.32775, 268, 0, 255, 0, 49169, FIRST_ECHO, 1078, 496, 0, 26, 26, 860
10.10.10.48, 42730, 12.6525, -43.35, -9.21316, 567, 0, 255, 0, 49169, FIRST_ECHO, 1078, 426, 0, 26, 22, 910
10.10.10.48, 42730, 12.8839, -46.5643, -9.1043, 477, 0, 255, 0, 49169, FIRST_ECHO, 1078, 363, 0, 26, 18, 870
10.10.10.48, 42730, 13.0468, -49.9275, -8.98398, 525, 0, 255, 0, 49169, FIRST_ECHO, 1078, 300, 0, 26, 15, 930
10.10.10.48, 42730, 13.2166, -53.0387, -8.87512, 409, 0, 255, 0, 49169, FIRST_ECHO, 1078, 244, 0, 26, 12, 910
10.10.10.48, 42730, 13.6129, -55.9952, -8.77198, 697, 0, 255, 0, 49169, FIRST_ECHO, 1078, 195, 0, 27, 9, 870
10.10.10.48, 42730, 14.0141, -59.1006, -8.66312, 824, 0, 255, 0, 49169, FIRST_ECHO, 1078, 146, 0, 27, 7, 980
10.10.10.48, 42730, 14.351, -62.0284, -8.57145, 627, 0, 255, 0, 49169, FIRST_ECHO, 1078, 104, 0, 26, 5, 970
10.10.10.48, 42730, 14.3346, -62.5154, -8.55426, 254, 0, 255, 0, 49169, FIRST_ECHO, 1078, 97, 0, 26, 4, 1010
10.10.10.48, 42730, 14.1091, -60.0746, -8.63447, 466, 0, 255, 0, 49169, FIRST_ECHO, 1078, 132, 0, 26, 6, 840
