Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.48, 42720, 7.07889, 65.0307, -8.47405, 200, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2498, 0, 28, 162, 5210
10.10.10.48, 42720, 7.23879, 62.4409, -8.55426, 284, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2463, 0, 28, 161, 1010
10.10.10.48, 42720, 7.46955, 60.0116, -8.63447, 865, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2428, 0, 28, 159, 840
10.10.10.48, 42720, 7.64875, 57.2729, -8.72615, 361, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2386, 0, 27, 157, 889
10.10.10.48, 42720, 7.96226, 54.2362, -8.82928, 1304, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2337, 0, 27, 154, 910
10.10.10.48, 42720, 8.31611, 50.999, -8.94387, 2227, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2281, 0, 27, 151, 940
10.10.10.48, 42720, 4.04732, 47.9909, -9.05273, 5718, 0, 0, 0, 49377, FIRST_ECHO, 1078, 2225, 0, 27, 148, 860
10.10.10.48, 42720, 4.13873, 44.7251, -9.16732, 3685, 0, 0, 0, 49249, FIRST_ECHO, 1078, 2162, 0, 27, 145, 889
10.10.10.48, 42720, 4.86218, 41.5681, -9.27046, 1273, 0, 255, 0, 49393, FIRST_ECHO, 1078, 2099, 0, 27, 141, 840
10.10.10.48, 42720, 4.74413, 38.1475, -9.38505, 830, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2029, 0, 27, 137, 880
10.10.10.48, 42720, 4.85568, 34.7212, -9.48245, 1088, 0, 255, 0, 49265, FIRST_ECHO, 1078, 1959, 0, 27, 133, 840
10.10.10.48, 42720, 5.35876, 31.0085, -9.57985, 1005, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1882, 0, 26, 128, 889
10.10.10.48, 42720, 6.905, 27.2613, -9.67153, 1376, 0, 255, 0, 49393, FIRST_ECHO, 1078, 1805, 0, 26, 123, 850
10.10.10.48, 42720, 7.34041, 23.0616, -9.75174, 1807, 0, 255, 0, 49265, FIRST_ECHO, 1078, 1721, 0, 26, 117, 900
10.10.10.48, 42720, 9.0617, 18.7873, -9.8205, 2652, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1637, 0, 26, 111, 880
10.10.10.48, 42720, 10.7107, 14.4729, -9.87206, 460, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1553, 0, 25, 104, 860
10.10.10.48, 42720, 11.9665, 10.044, -9.91217, 588, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1469, 0, 25, 98, 850
10.10.10.48, 42720, 11.9299, 5.60926, -9.94082, 329, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1385, 0, 25, 91, 840
10.10.10.48, 42720, 11.9345, 1.08862, -9.95228, 339, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1301, 0, 25, 84, 840
10.10.10.48, 42720, 11.9586, -3.37472, -9.94655, 327, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1217, 0, 25, 77, 840
10.10.10.48, 42720, 12.0071, -7.8839, -9.92936, 11287, 0, 255, 0, 49393, FIRST_ECHO, 1078, 1133, 0, 25, 70, 840
10.10.10.48, 42720, 12.0198, -12.3415, -9.89498, 365, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1049, 0, 25, 63, 840
10.10.10.48, 42720, 12.1119, -16.6903, -9.84914, 395, 0, 255, 0, 49169, FIRST_ECHO, 1078, 965, 0, 25, 57, 860
10.10.10.48, 42720, 12.1789, -21.0104, -9.78612, 321, 0, 255, 0, 49169, FIRST_ECHO, 1078, 881, 0, 25, 50, 870
10.10.10.48, 42720, 12.3044, -25.193, -9.71163, 470, 0, 255, 0, 49169, FIRST_ECHO, 1078, 797, 0, 25, 44, 889
10.10.10.48, 42720, 12.4785, -29.0203, -9.63142, 255, 0, 255, 0, 49169, FIRST_ECHO, 1078, 720, 0, 25, 39, 840
10.10.10.48, 42720, 12.6104, -32.7503, -9.53975, 324, 0, 255, 0, 49169, FIRST_ECHO, 1078, 643, 0, 26, 34, 860
10.10.10.48, 42720, 12.8387, -36.4573, -9.43089, 343, 0, 255, 0, 49169, FIRST_ECHO, 1078, 566, 0, 26, 30, 900
10.10.10.48, 42720, 12.9534, -39.9008, -9.32775, 312, 0, 255, 0, 49169, FIRST_ECHO, 1078, 496, 0, 26, 26, 860
10.10.10.48, 42720, 13.1374, -43.35, -9.21316, 465, 0, 255, 0, 49169, FIRST_ECHO, 1078, 426, 0, 26, 22, 910
10.10.10.48, 42720, 13.3251, -46.5643, -9.1043, 358, 0, 255, 0, 49169, FIRST_ECHO, 1078, 363, 0, 26, 18, 870
10.10.10.48, 42720, 13.6478, -49.9275, -8.98398, 274, 0, 255, 0, 49169, FIRST_ECHO, 1078, 300, 0, 26, 15, 930
10.10.10.48, 42720, 13.8974, -53.0387, -8.87512, 344, 0, 255, 0, 49169, FIRST_ECHO, 1078, 244, 0, 26, 12, 910
10.10.10.48, 42720, 13.9696, -55.9952, -8.77198, 781, 0, 255, 0, 49169, FIRST_ECHO, 1078, 195, 0, 27, 9, 870
10.10.10.48, 42720, 14.1073, -57.3359, -8.72615, 251, 0, 255, 0, 49169, FIRST_ECHO, 1078, 174, 0, 27, 8, 889
10.10.10.48, 42720, 13.9428, -54.2935, -8.82928, 300, 0, 255, 0, 49169, FIRST_ECHO, 1078, 223, 0, 26, 11, 910
10.10.10.48, 42720, 13.7015, -51.0505, -8.94387, 319, 0, 255, 0, 49169, FIRST_ECHO, 1078, 279, 0, 26, 14, 940
10.10.10.48, 42720, 13.4266, -48.0425, -9.05273, 415, 0, 255, 0, 49169, FIRST_ECHO, 1078, 335, 0, 26, 17, 860
10.10.10.48, 42720, 13.2075, -44.7709, -9.16159, 415, 0, 255, 0, 49169, FIRST_ECHO, 1078, 398, 0, 26, 20, 889
10.10.10.48, 42720, 13.0055, -41.6139, -9.27046, 2910, 0, 255, 0, 49169, FIRST_ECHO, 1078, 461, 0, 26, 23, 840
10.10.10.48, 42720, 12.8911, -38.1991, -9.37932, 215, 0, 255, 0, 49169, FIRST_ECHO, 1078, 531, 0, 26, 28, 880
10.10.10.48, 42720, 12.7252, -34.7671, -9.48245, 396, 0, 255, 0, 49169, FIRST_ECHO, 1078, 601, 0, 26, 32, 840
10.10.10.48, 42720, 12.5417, -31.0543, -9.57985, 336, 0, 255, 0, 49169, FIRST_ECHO, 1078, 678, 0, 25, 37, 889
10.10.10.48, 42720, 12.3711, -27.3072, -9.67153, 399, 0, 255, 0, 49169, FIRST_ECHO, 1078, 755, 0, 25, 42, 850
10.10.10.48, 42720, 12.2119, -23.1131, -9.75174, 481, 0, 255, 0, 49169, FIRST_ECHO, 1078, 839, 0, 25, 47, 900
10.10.10.48, 42720, 12.122, -18.8331, -9.8205, 360, 0, 255, 0, 49169, FIRST_ECHO, 1078, 923, 0, 25, 53, 880
10.10.10.48, 42720, 12.0079, -14.5245, -9.87206, 424, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1007, 0, 25, 60, 860
10.10.10.48, 42720, 11.9375, -10.0955, -9.91217, 432, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1091, 0, 25, 66, 850
10.10.10.48, 42720, 11.9278, -5.66082, -9.94082, 430, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1175, 0, 25, 73, 840
10.10.10.48, 42720, 11.8873, -1.14019, -9.95228, 398, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1259, 0, 25, 80, 840
10.10.10.48, 42720, 11.8316, 3.32316, -9.94655, 422, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1343, 0, 25, 87, 840
10.10.10.48, 42720, 11.8211, 7.83233, -9.92936, 364, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1427, 0, 25, 94, 840
10.10.10.48, 42720, 11.9328, 12.2899, -9.89498, 1799, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1511, 0, 25, 101, 840
10.10.10.48, 42720, 10.1802, 16.6387, -9.84914, 2383, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1595, 0, 26, 108, 860
10.10.10.48, 42720, 8.14891, 20.9588, -9.78612, 1347, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1679, 0, 26, 114, 870
10.10.10.48, 42720, 7.72036, 25.1471, -9.71163, 3120, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1763, 0, 26, 120, 889
10.10.10.48, 42720, 5.78548, 28.9745, -9.63142, 1174, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1840, 0, 26, 125, 840
10.10.10.48, 42720, 5.04422, 32.7044, -9.53975, 804, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1917, 0, 26, 130, 860
10.10.10.48, 42720, 4.67854, 36.4115, -9.43661, 1073, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1994, 0, 27, 135, 900
10.10.10.48, 42720, 4.66398, 39.8492, -9.32775, 1703, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2064, 0, 27, 139, 860
10.10.10.48, 42720, 4.74432, 43.3041, -9.21316, 1107, 0, 255, 0, 49393, FIRST_ECHO, 1078, 2134, 0, 27, 143, 910
10.10.10.48, 42720, 4.14818, 46.5184, -9.1043, 432, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2197, 0, 27, 146, 870
10.10.10.48, 42720, 4.21438, 49.8702, -8.98398, 1212, 0, 255, 0, 49393, FIRST_ECHO, 1078, 2260, 0, 27, 150, 930
10.10.10.48, 42720, 8.11018, 52.9814, -8.87512, 1899, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2316, 0, 27, 153, 910
10.10.10.48, 42720, 7.78545, 55.9379, -8.77198, 438, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2365, 0, 27, 156, 870
10.10.10.48, 42720, 7.50956, 59.0376, -8.66885, 456, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2414, 0, 27, 158, 980
10.10.10.48, 42720, 7.33488, 61.9597, -8.57145, 1268, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2456, 0, 28, 160, 970
10.10.10.48, 42720, 7.11695, 64.5151, -8.49123, 305, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2491, 0, 28, 162, 970
10.10.10.48, 42720, 7.15741, 64.0051, -8.50842, 215, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2484, 0, 28, 162, 8610
10.10.10.48, 42720, 7.35572, 61.4784, -8.58864, 824, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2449, 0, 28, 160, 930
10.10.10.48, 42720, 7.55323, 58.5907, -8.68031, 429, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2407, 0, 27, 158, 950
10.10.10.48, 42720, 7.82753, 55.5196, -8.78917, 1621, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2358, 0, 27, 155, 959
10.10.10.48, 42720, 8.12312, 52.5918, -8.88658, 1844, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2309, 0, 27, 153, 860
10.10.10.48, 42720, 4.14026, 49.452, -9.00117, 577, 0, 255, 0, 49393, FIRST_ECHO, 1078, 2253, 0, 27, 149, 889
10.10.10.48, 42720, 4.10275, 46.1632, -9.11576, 5236, 0, 0, 0, 49377, FIRST_ECHO, 1078, 2190, 0, 27, 146, 930
10.10.10.48, 42720, 4.73792, 42.9661, -9.22462, 1203, 0, 255, 0, 49393, FIRST_ECHO, 1078, 2127, 0, 27, 143, 860
10.10.10.48, 42720, 4.64881, 39.4711, -9.33921, 1683, 0, 255, 0, 49265, FIRST_ECHO, 1078, 2057, 0, 27, 139, 900
10.10.10.48, 42720, 4.70657, 36.0792, -9.44234, 4477, 0, 0, 0, 49377, FIRST_ECHO, 1078, 1987, 0, 27, 135, 860
10.10.10.48, 42720, 5.00706, 32.3721, -9.54548, 5290, 0, 0, 0, 49377, FIRST_ECHO, 1078, 1910, 0, 26, 130, 900
10.10.10.48, 42720, 5.98912, 28.6422, -9.63715, 2808, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1833, 0, 26, 125, 860
10.10.10.48, 42720, 7.68359, 24.8091, -9.71736, 1314, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1756, 0, 26, 119, 840
10.10.10.48, 42720, 8.47154, 20.615, -9.79185, 682, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1672, 0, 26, 113, 889
10.10.10.48, 42720, 10.309, 16.2892, -9.85487, 1976, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1588, 0, 26, 107, 870
10.10.10.48, 42720, 11.8688, 11.8831, -9.90071, 1718, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1504, 0, 25, 100, 850
10.10.10.48, 42720, 11.808, 7.47137, -9.92936, 427, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1420, 0, 25, 94, 840
10.10.10.48, 42720, 11.8555, 2.96219, -9.94655, 373, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1336, 0, 25, 87, 840
10.10.10.48, 42720, 11.8014, -1.50688, -9.95228, 283, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1252, 0, 25, 79, 840
10.10.10.48, 42720, 11.8851, -6.02179, -9.93509, 320, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1168, 0, 25, 73, 840
10.10.10.48, 42720, 11.9459, -10.5023, -9.91217, 339, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1084, 0, 25, 66, 840
10.10.10.48, 42720, 11.9559, -14.8797, -9.87206, 479, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1000, 0, 25, 59, 850
10.10.10.48, 42720, 12.1186, -19.2285, -9.81477, 374, 0, 255, 0, 49169, FIRST_ECHO, 1078, 916, 0, 25, 53, 860
10.10.10.48, 42720, 12.1828, -23.4512, -9.74601, 395, 0, 255, 0, 49169, FIRST_ECHO, 1078, 832, 0, 25, 47, 880
10.10.10.48, 42720, 12.3147, -27.6395, -9.66007, 417, 0, 255, 0, 49169, FIRST_ECHO, 1078, 748, 0, 25, 41, 910
