Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.48, 42731, 12.8049, -44.7709, -9.16159, 1179, 0, 255, 0, 49169, FIRST_ECHO, 1078, 398, 0, 26, 20, 889
10.10.10.48, 42731, 12.6924, -41.6139, -9.27046, 511, 0, 255, 0, 49169, FIRST_ECHO, 1078, 461, 0, 26, 23, 840
10.10.10.48, 42731, 12.5102, -38.1991, -9.37932, 243, 0, 255, 0, 49169, FIRST_ECHO, 1078, 531, 0, 26, 28, 880
10.10.10.48, 42731, 12.4323, -34.7671, -9.48245, 480, 0, 255, 0, 49169, FIRST_ECHO, 1078, 601, 0, 26, 32, 840
10.10.10.48, 42731, 12.316, -31.0543, -9.57985, 415, 0, 255, 0, 49169, FIRST_ECHO, 1078, 678, 0, 25, 37, 889
10.10.10.48, 42731, 12.199, -27.3072, -9.67153, 450, 0, 255, 0, 49169, FIRST_ECHO, 1078, 755, 0, 25, 42, 850
10.10.10.48, 42731, 12.1327, -23.1131, -9.75174, 447, 0, 255, 0, 49169, FIRST_ECHO, 1078, 839, 0, 25, 47, 900
10.10.10.48, 42731, 12.1126, -18.8331, -9.8205, 366, 0, 255, 0, 49169, FIRST_ECHO, 1078, 923, 0, 25, 53, 880
10.10.10.48, 42731, 12.1132, -14.5245, -9.87206, 407, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1007, 0, 25, 60, 860
10.10.10.48, 42731, 12.0437, -10.0955, -9.91217, 448, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1091, 0, 25, 66, 850
10.10.10.48, 42731, 11.9945, -5.66082, -9.94082, 450, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1175, 0, 25, 73, 840
10.10.10.48, 42731, 11.9393, -1.14019, -9.95228, 368, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1259, 0, 25, 80, 840
10.10.10.48, 42731, 11.8971, 3.32316, -9.94655, 442, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1343, 0, 25, 87, 840
10.10.10.48, 42731, 11.7794, 7.83233, -9.92936, 334, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1427, 0, 25, 94, 840
10.10.10.48, 42731, 11.853, 12.2899, -9.89498, 2236, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1511, 0, 25, 101, 840
10.10.10.48, 42731, 10.6624, 16.6387, -9.84914, 370, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1595, 0, 26, 108, 860
10.10.10.48, 42731, 7.81534, 20.9588, -9.78612, 439, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1679, 0, 26, 114, 870
10.10.10.48, 42731, 6.55777, 25.1471, -9.71163, 1418, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1763, 0, 26, 120, 889
10.10.10.48, 42731, 6.19706, 28.9745, -9.63142, 1161, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1840, 0, 26, 125, 840
10.10.10.48, 42731, 5.56159, 32.7044, -9.53975, 2421, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1917, 0, 26, 130, 860
10.10.10.48, 42731, 5.44988, 36.4115, -9.43661, 1402, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1994, 0, 27, 135, 900
10.10.10.48, 42731, 4.86136, 39.8492, -9.32775, 1061, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2064, 0, 27, 139, 860
10.10.10.48, 42731, 4.80267, 43.3041, -9.21316, 1016, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2134, 0, 27, 143, 910
10.10.10.48, 42731, 3.82562, 46.5184, -9.1043, 191, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2197, 0, 27, 146, 870
10.10.10.48, 42731, 8.45878, 49.8702, -8.98398, 633, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2260, 0, 27, 150, 930
10.10.10.48, 42731, 3.66835, 49.8702, -8.98398, 117, 0, 255, 0, 49202, SECOND_ECHO, 1078, 2260, 0, 27, 150, 930
10.10.10.48, 42731, 3.62038, 52.9814, -8.87512, 3292, 0, 0, 0, 49377, FIRST_ECHO, 1078, 2316, 0, 27, 153, 910
10.10.10.48, 42731, 3.5523, 55.9379, -8.77198, 337, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2365, 0, 27, 156, 870
10.10.10.48, 42731, 3.3899, 59.0376, -8.66885, 80, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2414, 0, 27, 158, 980
10.10.10.48, 42731, 3.542, 61.9597, -8.57145, 475, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2456, 0, 28, 160, 970
10.10.10.48, 42731, 3.52574, 64.5151, -8.49123, 290, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2491, 0, 28, 162, 970
10.10.10.48, 42731, 3.64339, 64.0051, -8.50842, 185, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2484, 0, 28, 162, 8610
10.10.10.48, 42731, 3.52625, 61.4784, -8.58864, 325, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2449, 0, 28, 160, 930
10.10.10.48, 42731, 3.43225, 58.5907, -8.68031, 135, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2407, 0, 27, 158, 950
10.10.10.48, 42731, 3.53762, 55.5196, -8.78917, 818, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2358, 0, 27, 155, 959
10.10.10.48, 42731, 3.62335, 52.5918, -8.88658, 3031, 0, 0, 0, 49377, FIRST_ECHO, 1078, 2309, 0, 27, 153, 860
10.10.10.48, 42731, 3.68668, 49.452, -9.00117, 88, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2253, 0, 27, 149, 889
10.10.10.48, 42731, 3.85722, 46.1632, -9.11576, 423, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2190, 0, 27, 146, 930
10.10.10.48, 42731, 4.70043, 42.9661, -9.22462, 1729, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2127, 0, 27, 143, 860
10.10.10.48, 42731, 4.48558, 39.4711, -9.33921, 692, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2057, 0, 27, 139, 900
10.10.10.48, 42731, 5.49154, 36.0792, -9.44234, 2029, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1987, 0, 27, 135, 860
10.10.10.48, 42731, 5.86623, 32.3721, -9.54548, 2680, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1910, 0, 26, 130, 900
10.10.10.48, 42731, 6.1319, 28.6422, -9.63715, 1278, 0, 255, 0, 49393, FIRST_ECHO, 1078, 1833, 0, 26, 125, 860
10.10.10.48, 42731, 6.68006, 24.8091, -9.71736, 543, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1756, 0, 26, 119, 840
10.10.10.48, 42731, 8.09676, 20.615, -9.79185, 382, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1672, 0, 26, 113, 889
10.10.10.48, 42731, 10.6987, 16.2892, -9.85487, 426, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1588, 0, 26, 107, 870
10.10.10.48, 42731, 11.7901, 11.8831, -9.90071, 409, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1504, 0, 25, 100, 850
10.10.10.48, 42731, 11.7841, 7.47137, -9.92936, 440, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1420, 0, 25, 94, 840
10.10.10.48, 42731, 11.8899, 2.96219, -9.94655, 391, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1336, 0, 25, 87, 840
10.10.10.48, 42731, 11.8857, -1.50688, -9.95228, 276, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1252, 0, 25, 79, 840
10.10.10.48, 42731, 11.956, -6.02179, -9.93509, 380, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1168, 0, 25, 73, 840
10.10.10.48, 42731, 12.0146, -10.5023, -9.91217, 335, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1084, 0, 25, 66, 840
10.10.10.48, 42731, 12.0013, -14.8797, -9.87206, 449, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1000, 0, 25, 59, 850
10.10.10.48, 42731, 12.076, -19.2285, -9.81477, 391, 0, 255, 0, 49169, FIRST_ECHO, 1078, 916, 0, 25, 53, 860
10.10.10.48, 42731, 12.0829, -23.4512, -9.74601, 387, 0, 255, 0, 49169, FIRST_ECHO, 1078, 832, 0, 25, 47, 880
10.10.10.48, 42731, 12.1501, -27.6395, -9.66007, 440, 0, 255, 0, 49169, FIRST_ECHO, 1078, 748, 0, 25, 41, 910
10.10.10.48, 42731, 12.2655, -31.3866, -9.57412, 457, 0, 255, 0, 49169, FIRST_ECHO, 1078, 671, 0, 25, 36, 850
