Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.48, 42724, 3.47899, 65.0307, -8.47405, 60, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2498, 0, 28, 162, 5210
10.10.10.48, 42724, 3.56395, 62.4409, -8.55426, 32, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2463, 0, 28, 161, 1010
10.10.10.48, 42724, 7.47268, 60.0116, -8.63447, 859, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2428, 0, 28, 159, 840
10.10.10.48, 42724, 7.65604, 57.2729, -8.72615, 267, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2386, 0, 27, 157, 889
10.10.10.48, 42724, 7.95689, 54.2362, -8.82928, 1415, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2337, 0, 27, 154, 910
10.10.10.48, 42724, 8.33151, 50.999, -8.94387, 1820, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2281, 0, 27, 151, 940
10.10.10.48, 42724, 8.70827, 47.9909, -9.05273, 3003, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2225, 0, 27, 148, 860
10.10.10.48, 42724, 4.64313, 44.7251, -9.16732, 1474, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2162, 0, 27, 145, 889
10.10.10.48, 42724, 4.56674, 41.5681, -9.27046, 1524, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2099, 0, 27, 141, 840
10.10.10.48, 42724, 4.76372, 38.1475, -9.38505, 1097, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2029, 0, 27, 137, 880
10.10.10.48, 42724, 4.89529, 34.7212, -9.48245, 1074, 0, 255, 0, 49393, FIRST_ECHO, 1078, 1959, 0, 27, 133, 840
10.10.10.48, 42724, 5.25883, 31.0085, -9.57985, 1013, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1882, 0, 26, 128, 889
10.10.10.48, 42724, 6.07744, 27.2613, -9.67153, 1024, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1805, 0, 26, 123, 850
10.10.10.48, 42724, 7.19988, 23.0616, -9.75174, 1643, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1721, 0, 26, 117, 900
10.10.10.48, 42724, 8.75819, 18.7873, -9.8205, 2131, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1637, 0, 26, 111, 880
10.10.10.48, 42724, 10.6174, 14.4729, -9.87206, 367, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1553, 0, 25, 104, 860
10.10.10.48, 42724, 11.954, 10.044, -9.91217, 700, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1469, 0, 25, 98, 850
10.10.10.48, 42724, 11.8436, 5.60926, -9.94082, 361, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1385, 0, 25, 91, 840
10.10.10.48, 42724, 11.8541, 1.08862, -9.95228, 11001, 0, 255, 0, 49393, FIRST_ECHO, 1078, 1301, 0, 25, 84, 840
10.10.10.48, 42724, 11.9067, -3.37472, -9.94655, 354, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1217, 0, 25, 77, 840
10.10.10.48, 42724, 11.9464, -7.8839, -9.92936, 412, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1133, 0, 25, 70, 840
10.10.10.48, 42724, 11.9604, -12.3415, -9.89498, 339, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1049, 0, 25, 63, 840
10.10.10.48, 42724, 12.0323, -16.6903, -9.84914, 6948, 0, 255, 0, 49393, FIRST_ECHO, 1078, 965, 0, 25, 57, 860
10.10.10.48, 42724, 12.1426, -21.0104, -9.78612, 355, 0, 255, 0, 49169, FIRST_ECHO, 1078, 881, 0, 25, 50, 870
10.10.10.48, 42724, 12.2272, -25.193, -9.71163, 7556, 0, 255, 0, 49393, FIRST_ECHO, 1078, 797, 0, 25, 44, 889
10.10.10.48, 42724, 12.4067, -29.0203, -9.63142, 251, 0, 255, 0, 49169, FIRST_ECHO, 1078, 720, 0, 25, 39, 840
10.10.10.48, 42724, 12.6115, -32.7503, -9.53975, 572, 0, 255, 0, 49169, FIRST_ECHO, 1078, 643, 0, 26, 34, 860
10.10.10.48, 42724, 12.7493, -36.4573, -9.43089, 395, 0, 255, 0, 49169, FIRST_ECHO, 1078, 566, 0, 26, 30, 900
10.10.10.48, 42724, 12.9122, -39.9008, -9.32775, 249, 0, 255, 0, 49169, FIRST_ECHO, 1078, 496, 0, 26, 26, 860
10.10.10.48, 42724, 13.059, -43.35, -9.21316, 517, 0, 255, 0, 49169, FIRST_ECHO, 1078, 426, 0, 26, 22, 910
10.10.10.48, 42724, 13.2836, -46.5643, -9.1043, 410, 0, 255, 0, 49169, FIRST_ECHO, 1078, 363, 0, 26, 18, 870
10.10.10.48, 42724, 13.4886, -49.9275, -8.98398, 280, 0, 255, 0, 49169, FIRST_ECHO, 1078, 300, 0, 26, 15, 930
10.10.10.48, 42724, 13.7341, -53.0387, -8.87512, 262, 0, 255, 0, 49169, FIRST_ECHO, 1078, 244, 0, 26, 12, 910
10.10.10.48, 42724, 13.911, -55.9952, -8.77198, 288, 0, 255, 0, 49169, FIRST_ECHO, 1078, 195, 0, 27, 9, 870
10.10.10.48, 42724, 14.2148, -59.1006, -8.66312, 537, 0, 255, 0, 49169, FIRST_ECHO, 1078, 146, 0, 27, 7, 980
10.10.10.48, 42724, 14.131, -60.0746, -8.63447, 475, 0, 255, 0, 49169, FIRST_ECHO, 1078, 132, 0, 26, 6, 840
10.10.10.48, 42724, 13.9893, -57.3359, -8.72615, 309, 0, 255, 0, 49169, FIRST_ECHO, 1078, 174, 0, 27, 8, 889
10.10.10.48, 42724, 13.7929, -54.2935, -8.82928, 250, 0, 255, 0, 49169, FIRST_ECHO, 1078, 223, 0, 26, 11, 910
10.10.10.48, 42724, 13.5849, -51.0505, -8.94387, 282, 0, 255, 0, 49169, FIRST_ECHO, 1078, 279, 0, 26, 14, 940
10.10.10.48, 42724, 13.3183, -48.0425, -9.05273, 358, 0, 255, 0, 49169, FIRST_ECHO, 1078, 335, 0, 26, 17, 860
10.10.10.48, 42724, 13.1305, -44.7709, -9.16159, 447, 0, 255, 0, 49169, FIRST_ECHO, 1078, 398, 0, 26, 20, 889
10.10.10.48, 42724, 12.9391, -41.6139, -9.27046, 5364, 0, 255, 0, 49265, FIRST_ECHO, 1078, 461, 0, 26, 23, 840
10.10.10.48, 42724, 12.7694, -38.1991, -9.37932, 242, 0, 255, 0, 49169, FIRST_ECHO, 1078, 531, 0, 26, 28, 880
10.10.10.48, 42724, 12.7066, -34.7671, -9.48245, 1792, 0, 255, 0, 49169, FIRST_ECHO, 1078, 601, 0, 26, 32, 840
10.10.10.48, 42724, 12.4648, -31.0543, -9.57985, 378, 0, 255, 0, 49169, FIRST_ECHO, 1078, 678, 0, 25, 37, 889
10.10.10.48, 42724, 12.3252, -27.3072, -9.67153, 445, 0, 255, 0, 49169, FIRST_ECHO, 1078, 755, 0, 25, 42, 850
10.10.10.48, 42724, 12.1557, -23.1131, -9.75174, 475, 0, 255, 0, 49169, FIRST_ECHO, 1078, 839, 0, 25, 47, 900
10.10.10.48, 42724, 12.0825, -18.8331, -9.8205, 381, 0, 255, 0, 49169, FIRST_ECHO, 1078, 923, 0, 25, 53, 880
10.10.10.48, 42724, 11.9851, -14.5245, -9.87206, 378, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1007, 0, 25, 60, 860
10.10.10.48, 42724, 11.8981, -10.0955, -9.91217, 442, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1091, 0, 25, 66, 850
10.10.10.48, 42724, 11.8508, -5.66082, -9.94082, 453, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1175, 0, 25, 73, 840
10.10.10.48, 42724, 11.803, -1.14019, -9.95228, 379, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1259, 0, 25, 80, 840
10.10.10.48, 42724, 11.7777, 3.32316, -9.94655, 366, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1343, 0, 25, 87, 840
10.10.10.48, 42724, 11.7763, 7.83233, -9.92936, 338, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1427, 0, 25, 94, 840
10.10.10.48, 42724, 11.8953, 12.2899, -9.89498, 1800, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1511, 0, 25, 101, 840
10.10.10.48, 42724, 10.3925, 16.6387, -9.84914, 2570, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1595, 0, 26, 108, 860
10.10.10.48, 42724, 7.93252, 20.9588, -9.78612, 2066, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1679, 0, 26, 114, 870
10.10.10.48, 42724, 7.30437, 25.1471, -9.71163, 4177, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1763, 0, 26, 120, 889
10.10.10.48, 42724, 5.73201, 28.9745, -9.63142, 635, 0, 255, 0, 49265, FIRST_ECHO, 1078, 1840, 0, 26, 125, 840
10.10.10.48, 42724, 5.05299, 32.7044, -9.53975, 700, 0, 255, 0, 49265, FIRST_ECHO, 1078, 1917, 0, 26, 130, 860
10.10.10.48, 42724, 4.82779, 36.4115, -9.43661, 1815, 0, 255, 0, 49265, FIRST_ECHO, 1078, 1994, 0, 27, 135, 900
10.10.10.48, 42724, 4.61778, 39.8492, -9.32775, 956, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2064, 0, 27, 139, 860
10.10.10.48, 42724, 4.55967, 43.3041, -9.21316, 4863, 0, 0, 0, 49377, FIRST_ECHO, 1078, 2134, 0, 27, 143, 910
10.10.10.48, 42724, 8.23247, 46.5184, -9.1043, 1986, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2197, 0, 27, 146, 870
10.10.10.48, 42724, 8.47181, 49.8702, -8.98398, 2296, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2260, 0, 27, 150, 930
10.10.10.48, 42724, 8.10705, 52.9814, -8.87512, 1892, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2316, 0, 27, 153, 910
10.10.10.48, 42724, 7.78881, 55.9379, -8.77198, 364, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2365, 0, 27, 156, 870
10.10.10.48, 42724, 7.50331, 59.0376, -8.66885, 472, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2414, 0, 27, 158, 980
10.10.10.48, 42724, 3.5914, 61.9597, -8.57145, 115, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2456, 0, 28, 160, 970
10.10.10.48, 42724, 3.50353, 64.5151, -8.49123, 53, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2491, 0, 28, 162, 970
10.10.10.48, 42724, 3.48332, 64.0051, -8.50842, 24, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2484, 0, 28, 162, 8610
10.10.10.48, 42724, 3.64891, 61.4784, -8.58864, 208, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2449, 0, 28, 160, 930
10.10.10.48, 42724, 7.53689, 58.5907, -8.68031, 337, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2407, 0, 27, 158, 950
10.10.10.48, 42724, 7.85879, 55.5196, -8.78917, 1815, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2358, 0, 27, 155, 959
