Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.48, 42723, 7.12749, 65.0307, -8.47405, 810, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2498, 0, 28, 162, 5210
10.10.10.48, 42723, 4.01197, 62.4409, -8.55426, 56, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2463, 0, 28, 161, 1010
10.10.10.48, 42723, 3.88117, 60.0116, -8.63447, 376, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2428, 0, 28, 159, 840
10.10.10.48, 42723, 3.92462, 57.2729, -8.72615, 549, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2386, 0, 27, 157, 889
10.10.10.48, 42723, 4.24769, 54.2362, -8.82928, 487, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2337, 0, 27, 154, 910
10.10.10.48, 42723, 4.10432, 50.999, -8.94387, 344, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2281, 0, 27, 151, 940
10.10.10.48, 42723, 4.24632, 47.9909, -9.05273, 4392, 0, 0, 0, 49377, FIRST_ECHO, 1078, 2225, 0, 27, 148, 860
10.10.10.48, 42723, 9.14102, 44.7251, -9.16732, 2693, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2162, 0, 27, 145, 889
10.10.10.48, 42723, 4.71974, 41.5681, -9.27046, 1744, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2099, 0, 27, 141, 840
10.10.10.48, 42723, 4.88864, 38.1475, -9.38505, 1247, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2029, 0, 27, 137, 880
10.10.10.48, 42723, 5.56046, 34.7212, -9.48245, 1366, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1959, 0, 27, 133, 840
10.10.10.48, 42723, 5.48052, 31.0085, -9.57985, 1017, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1882, 0, 26, 128, 889
10.10.10.48, 42723, 6.18197, 27.2613, -9.67153, 2992, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1805, 0, 26, 123, 850
10.10.10.48, 42723, 7.19042, 23.0616, -9.75174, 2181, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1721, 0, 26, 117, 900
10.10.10.48, 42723, 8.80429, 18.7873, -9.8205, 1864, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1637, 0, 26, 111, 880
10.10.10.48, 42723, 10.3859, 14.4729, -9.87206, 516, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1553, 0, 25, 104, 860
10.10.10.48, 42723, 11.5337, 10.044, -9.91217, 6154, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1469, 0, 25, 98, 850
10.10.10.48, 42723, 11.4949, 5.60926, -9.94082, 362, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1385, 0, 25, 91, 840
10.10.10.48, 42723, 11.5435, 1.08862, -9.95228, 1859, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1301, 0, 25, 84, 840
10.10.10.48, 42723, 11.5132, -3.37472, -9.94655, 326, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1217, 0, 25, 77, 840
10.10.10.48, 42723, 11.5748, -7.8839, -9.92936, 396, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1133, 0, 25, 70, 840
10.10.10.48, 42723, 11.5876, -12.3415, -9.89498, 397, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1049, 0, 25, 63, 840
10.10.10.48, 42723, 11.7522, -16.6903, -9.84914, 937, 0, 255, 0, 49169, FIRST_ECHO, 1078, 965, 0, 25, 57, 860
10.10.10.48, 42723, 11.7948, -21.0104, -9.78612, 409, 0, 255, 0, 49169, FIRST_ECHO, 1078, 881, 0, 25, 50, 870
10.10.10.48, 42723, 11.8724, -25.193, -9.71163, 533, 0, 255, 0, 49169, FIRST_ECHO, 1078, 797, 0, 25, 44, 889
10.10.10.48, 42723, 12.0628, -29.0203, -9.63142, 298, 0, 255, 0, 49169, FIRST_ECHO, 1078, 720, 0, 25, 39, 840
10.10.10.48, 42723, 12.2348, -32.7503, -9.53975, 312, 0, 255, 0, 49169, FIRST_ECHO, 1078, 643, 0, 26, 34, 860
10.10.10.48, 42723, 12.3995, -36.4573, -9.43089, 386, 0, 255, 0, 49169, FIRST_ECHO, 1078, 566, 0, 26, 30, 900
10.10.10.48, 42723, 12.579, -39.9008, -9.32775, 259, 0, 255, 0, 49169, FIRST_ECHO, 1078, 496, 0, 26, 26, 860
10.10.10.48, 42723, 12.6676, -43.35, -9.21316, 812, 0, 255, 0, 49169, FIRST_ECHO, 1078, 426, 0, 26, 22, 910
10.10.10.48, 42723, 12.9629, -46.5643, -9.1043, 338, 0, 255, 0, 49169, FIRST_ECHO, 1078, 363, 0, 26, 18, 870
10.10.10.48, 42723, 13.1513, -49.9275, -8.98398, 233, 0, 255, 0, 49169, FIRST_ECHO, 1078, 300, 0, 26, 15, 930
10.10.10.48, 42723, 13.4249, -53.0387, -8.87512, 247, 0, 255, 0, 49169, FIRST_ECHO, 1078, 244, 0, 26, 12, 910
10.10.10.48, 42723, 13.6362, -55.9952, -8.77198, 252, 0, 255, 0, 49169, FIRST_ECHO, 1078, 195, 0, 27, 9, 870
10.10.10.48, 42723, 13.9315, -59.1006, -8.66312, 412, 0, 255, 0, 49169, FIRST_ECHO, 1078, 146, 0, 27, 7, 980
10.10.10.48, 42723, 13.8583, -60.0746, -8.63447, 499, 0, 255, 0, 49169, FIRST_ECHO, 1078, 132, 0, 26, 6, 840
10.10.10.48, 42723, 13.702, -57.3359, -8.72615, 322, 0, 255, 0, 49169, FIRST_ECHO, 1078, 174, 0, 27, 8, 889
10.10.10.48, 42723, 13.2071, -51.0505, -8.94387, 263, 0, 255, 0, 49169, FIRST_ECHO, 1078, 279, 0, 26, 14, 940
10.10.10.48, 42723, 13.0153, -48.0425, -9.05273, 344, 0, 255, 0, 49169, FIRST_ECHO, 1078, 335, 0, 26, 17, 860
10.10.10.48, 42723, 12.8015, -44.7709, -9.16159, 404, 0, 255, 0, 49169, FIRST_ECHO, 1078, 398, 0, 26, 20, 889
10.10.10.48, 42723, 12.6854, -41.6139, -9.27046, 445, 0, 255, 0, 49169, FIRST_ECHO, 1078, 461, 0, 26, 23, 840
10.10.10.48, 42723, 12.4633, -38.1991, -9.37932, 216, 0, 255, 0, 49169, FIRST_ECHO, 1078, 531, 0, 26, 28, 880
10.10.10.48, 42723, 12.2362, -34.7671, -9.48245, 1331, 0, 255, 0, 49169, FIRST_ECHO, 1078, 601, 0, 26, 32, 840
10.10.10.48, 42723, 12.117, -31.0543, -9.57985, 327, 0, 255, 0, 49169, FIRST_ECHO, 1078, 678, 0, 25, 37, 889
10.10.10.48, 42723, 11.9867, -27.3072, -9.67153, 437, 0, 255, 0, 49169, FIRST_ECHO, 1078, 755, 0, 25, 42, 850
10.10.10.48, 42723, 11.7997, -23.1131, -9.75174, 432, 0, 255, 0, 49169, FIRST_ECHO, 1078, 839, 0, 25, 47, 900
