Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.48, 42734, 7.2985, 65.0995, -8.47405, 546, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2498, 0, 28, 162, 5210
10.10.10.48, 42734, 3.51609, 65.0995, -8.47405, 15, 0, 255, 0, 49202, SECOND_ECHO, 1078, 2498, 0, 28, 162, 5210
10.10.10.48, 42734, 3.37998, 62.4409, -8.55426, 143, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2463, 0, 28, 161, 1010
10.10.10.48, 42734, 7.69813, 60.0116, -8.63447, 762, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2428, 0, 28, 159, 840
10.10.10.48, 42734, 3.30293, 57.2729, -8.72615, 287, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2386, 0, 27, 157, 889
10.10.10.48, 42734, 8.28014, 54.2362, -8.82928, 1016, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2337, 0, 27, 154, 910
10.10.10.48, 42734, 3.07914, 51.0505, -8.94387, 303, 0, 255, 0, 49265, FIRST_ECHO, 1078, 2281, 0, 27, 151, 940
10.10.10.48, 42734, 3.70249, 47.9909, -9.05273, 474, 0, 255, 0, 49393, FIRST_ECHO, 1078, 2225, 0, 27, 148, 860
10.10.10.48, 42734, 3.83493, 44.7251, -9.16732, 71, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2162, 0, 27, 145, 889
10.10.10.48, 42734, 4.7279, 41.5681, -9.27046, 1041, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2099, 0, 27, 141, 840
10.10.10.48, 42734, 10.0081, 38.1475, -9.38505, 1305, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2029, 0, 27, 137, 880
10.10.10.48, 42734, 4.81912, 34.7671, -9.48245, 541, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1959, 0, 27, 133, 840
10.10.10.48, 42734, 10.2842, 31.0085, -9.57985, 1709, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1882, 0, 26, 128, 889
10.10.10.48, 42734, 6.71759, 27.2613, -9.67153, 375, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1805, 0, 26, 123, 850
10.10.10.48, 42734, 9.14487, 23.0616, -9.75174, 781, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1721, 0, 26, 117, 900
10.10.10.48, 42734, 11.8238, 18.8331, -9.8205, 468, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1637, 0, 26, 111, 880
10.10.10.48, 42734, 11.9771, 14.4729, -9.87206, 371, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1553, 0, 25, 104, 860
10.10.10.48, 42734, 11.9317, 10.044, -9.91217, 383, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1469, 0, 25, 98, 850
