Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.48, 42728, 7.13062, 65.0307, -8.47405, 784, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2498, 0, 28, 162, 5210
10.10.10.48, 42728, 7.25453, 62.4409, -8.55426, 341, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2463, 0, 28, 161, 1010
10.10.10.48, 42728, 7.4758, 60.0116, -8.63447, 875, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2428, 0, 28, 159, 840
10.10.10.48, 42728, 7.66749, 57.2729, -8.72615, 366, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2386, 0, 27, 157, 889
10.10.10.48, 42728, 7.97875, 54.2362, -8.82928, 1418, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2337, 0, 27, 154, 910
10.10.10.48, 42728, 8.30701, 50.999, -8.94387, 999, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2281, 0, 27, 151, 940
10.10.10.48, 42728, 3.77637, 47.9909, -9.05273, 146, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2225, 0, 27, 148, 860
10.10.10.48, 42728, 4.00083, 44.7251, -9.16732, 514, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2162, 0, 27, 145, 889
10.10.10.48, 42728, 4.27482, 41.5681, -9.27046, 257, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2099, 0, 27, 141, 840
10.10.10.48, 42728, 4.95011, 38.1475, -9.38505, 974, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2029, 0, 27, 137, 880
10.10.10.48, 42728, 4.96498, 34.7212, -9.48245, 1219, 0, 255, 0, 49393, FIRST_ECHO, 1078, 1959, 0, 27, 133, 840
10.10.10.48, 42728, 5.61244, 31.0085, -9.57985, 510, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1882, 0, 26, 128, 889
10.10.10.48, 42728, 6.14952, 27.2613, -9.67153, 696, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1805, 0, 26, 123, 850
10.10.10.48, 42728, 7.1337, 23.0616, -9.75174, 1378, 0, 255, 0, 49265, FIRST_ECHO, 1078, 1721, 0, 26, 117, 900
10.10.10.48, 42728, 9.49756, 18.7873, -9.8205, 2161, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1637, 0, 26, 111, 880
10.10.10.48, 42728, 10.5627, 14.4729, -9.87206, 395, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1553, 0, 25, 104, 860
10.10.10.48, 42728, 11.9044, 10.044, -9.91217, 4781, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1469, 0, 25, 98, 850
10.10.10.48, 42728, 11.8103, 5.60926, -9.94082, 370, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1385, 0, 25, 91, 840
10.10.10.48, 42728, 11.8333, 1.08862, -9.95228, 313, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1301, 0, 25, 84, 840
10.10.10.48, 42728, 11.8879, -3.37472, -9.94655, 364, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1217, 0, 25, 77, 840
10.10.10.48, 42728, 11.9413, -7.8839, -9.92936, 369, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1133, 0, 25, 70, 840
10.10.10.48, 42728, 11.9459, -12.3415, -9.89498, 396, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1049, 0, 25, 63, 840
10.10.10.48, 42728, 11.9991, -16.6903, -9.84914, 438, 0, 255, 0, 49169, FIRST_ECHO, 1078, 965, 0, 25, 57, 860
10.10.10.48, 42728, 12.0344, -21.0104, -9.78612, 388, 0, 255, 0, 49169, FIRST_ECHO, 1078, 881, 0, 25, 50, 870
10.10.10.48, 42728, 12.0983, -25.193, -9.71163, 460, 0, 255, 0, 49169, FIRST_ECHO, 1078, 797, 0, 25, 44, 889
10.10.10.48, 42728, 12.2149, -29.0203, -9.63142, 311, 0, 255, 0, 49169, FIRST_ECHO, 1078, 720, 0, 25, 39, 840
10.10.10.48, 42728, 12.3557, -32.7503, -9.53975, 416, 0, 255, 0, 49169, FIRST_ECHO, 1078, 643, 0, 26, 34, 860
10.10.10.48, 42728, 12.4756, -36.4573, -9.43089, 415, 0, 255, 0, 49169, FIRST_ECHO, 1078, 566, 0, 26, 30, 900
10.10.10.48, 42728, 12.604, -39.9008, -9.32775, 262, 0, 255, 0, 49169, FIRST_ECHO, 1078, 496, 0, 26, 26, 860
10.10.10.48, 42728, 12.6806, -43.35, -9.21316, 546, 0, 255, 0, 49169, FIRST_ECHO, 1078, 426, 0, 26, 22, 910
10.10.10.48, 42728, 12.9151, -46.5643, -9.1043, 367, 0, 255, 0, 49169, FIRST_ECHO, 1078, 363, 0, 26, 18, 870
10.10.10.48, 42728, 13.3435, -53.0387, -8.87512, 390, 0, 255, 0, 49169, FIRST_ECHO, 1078, 244, 0, 26, 12, 910
10.10.10.48, 42728, 13.5653, -55.9952, -8.77198, 310, 0, 255, 0, 49169, FIRST_ECHO, 1078, 195, 0, 27, 9, 870
10.10.10.48, 42728, 13.7363, -57.3359, -8.72615, 321, 0, 255, 0, 49169, FIRST_ECHO, 1078, 174, 0, 27, 8, 889
10.10.10.48, 42728, 13.4619, -54.2935, -8.82928, 246, 0, 255, 0, 49169, FIRST_ECHO, 1078, 223, 0, 26, 11, 910
10.10.10.48, 42728, 13.18, -51.0505, -8.94387, 274, 0, 255, 0, 49169, FIRST_ECHO, 1078, 279, 0, 26, 14, 940
10.10.10.48, 42728, 12.9676, -48.0425, -9.05273, 388, 0, 255, 0, 49169, FIRST_ECHO, 1078, 335, 0, 26, 17, 860
10.10.10.48, 42728, 12.8285, -44.7709, -9.16159, 472, 0, 255, 0, 49169, FIRST_ECHO, 1078, 398, 0, 26, 20, 889
10.10.10.48, 42728, 12.7143, -41.6139, -9.27046, 510, 0, 255, 0, 49169, FIRST_ECHO, 1078, 461, 0, 26, 23, 840
10.10.10.48, 42728, 12.4987, -38.1991, -9.37932, 251, 0, 255, 0, 49169, FIRST_ECHO, 1078, 531, 0, 26, 28, 880
10.10.10.48, 42728, 12.4085, -34.7671, -9.48245, 494, 0, 255, 0, 49169, FIRST_ECHO, 1078, 601, 0, 26, 32, 840
10.10.10.48, 42728, 12.2473, -31.0543, -9.57985, 419, 0, 255, 0, 49169, FIRST_ECHO, 1078, 678, 0, 25, 37, 889
10.10.10.48, 42728, 12.149, -27.3072, -9.67153, 449, 0, 255, 0, 49169, FIRST_ECHO, 1078, 755, 0, 25, 42, 850
10.10.10.48, 42728, 12.0453, -23.1131, -9.75174, 441, 0, 255, 0, 49169, FIRST_ECHO, 1078, 839, 0, 25, 47, 900
10.10.10.48, 42728, 12.0065, -18.8331, -9.8205, 373, 0, 255, 0, 49169, FIRST_ECHO, 1078, 923, 0, 25, 53, 880
10.10.10.48, 42728, 11.9539, -14.5245, -9.87206, 384, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1007, 0, 25, 60, 860
10.10.10.48, 42728, 11.8876, -10.0955, -9.91217, 436, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1091, 0, 25, 66, 850
10.10.10.48, 42728, 11.8466, -5.66082, -9.94082, 425, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1175, 0, 25, 73, 840
10.10.10.48, 42728, 11.7749, -1.14019, -9.95228, 361, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1259, 0, 25, 80, 840
10.10.10.48, 42728, 11.7629, 3.32316, -9.94655, 407, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1343, 0, 25, 87, 840
10.10.10.48, 42728, 11.7657, 7.83233, -9.92936, 319, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1427, 0, 25, 94, 840
10.10.10.48, 42728, 11.861, 12.2899, -9.89498, 1847, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1511, 0, 25, 101, 840
10.10.10.48, 42728, 9.84741, 16.6387, -9.84914, 3670, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1595, 0, 26, 108, 860
10.10.10.48, 42728, 7.80315, 20.9588, -9.78612, 1389, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1679, 0, 26, 114, 870
10.10.10.48, 42728, 6.69808, 25.1471, -9.71163, 1172, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1763, 0, 26, 120, 889
10.10.10.48, 42728, 6.14234, 28.9745, -9.63142, 1694, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1840, 0, 26, 125, 840
10.10.10.48, 42728, 5.38764, 32.7044, -9.53975, 1166, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1917, 0, 26, 130, 860
10.10.10.48, 42728, 4.81184, 36.4115, -9.43661, 983, 0, 255, 0, 49393, FIRST_ECHO, 1078, 1994, 0, 27, 135, 900
10.10.10.48, 42728, 4.32899, 39.8492, -9.32775, 542, 0, 255, 0, 49393, FIRST_ECHO, 1078, 2064, 0, 27, 139, 860
10.10.10.48, 42728, 4.81302, 43.3041, -9.21316, 1228, 0, 255, 0, 49265, FIRST_ECHO, 1078, 2134, 0, 27, 143, 910
10.10.10.48, 42728, 3.89258, 46.5184, -9.1043, 227, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2197, 0, 27, 146, 870
10.10.10.48, 42728, 3.68911, 49.8702, -8.98398, 143, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2260, 0, 27, 150, 930
10.10.10.48, 42728, 8.1293, 52.9814, -8.87512, 1750, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2316, 0, 27, 153, 910
10.10.10.48, 42728, 7.80418, 55.9379, -8.77198, 454, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2365, 0, 27, 156, 870
10.10.10.48, 42728, 7.53766, 59.0376, -8.66885, 482, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2414, 0, 27, 158, 980
10.10.10.48, 42728, 7.35987, 61.9597, -8.57145, 1227, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2456, 0, 28, 160, 970
10.10.10.48, 42728, 7.14506, 64.5151, -8.49123, 314, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2491, 0, 28, 162, 970
10.10.10.48, 42728, 7.16677, 64.0051, -8.50842, 184, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2484, 0, 28, 162, 8610
10.10.10.48, 42728, 7.3607, 61.4784, -8.58864, 716, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2449, 0, 28, 160, 930
10.10.10.48, 42728, 7.55875, 58.5907, -8.68031, 341, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2407, 0, 27, 158, 950
10.10.10.48, 42728, 7.86816, 55.5196, -8.78917, 1892, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2358, 0, 27, 155, 959
