Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.48, 42729, 7.12499, 65.0307, -8.47405, 655, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2498, 0, 28, 162, 5210
10.10.10.48, 42729, 7.25722, 62.4409, -8.55426, 249, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2463, 0, 28, 161, 1010
10.10.10.48, 42729, 7.42168, 60.0116, -8.63447, 293, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2428, 0, 28, 159, 840
10.10.10.48, 42729, 7.65604, 57.2729, -8.72615, 271, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2386, 0, 27, 157, 889
10.10.10.48, 42729, 7.99748, 54.2362, -8.82928, 1425, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2337, 0, 27, 154, 910
10.10.10.48, 42729, 8.33425, 50.999, -8.94387, 2079, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2281, 0, 27, 151, 940
10.10.10.48, 42729, 3.79905, 47.9909, -9.05273, 361, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2225, 0, 27, 148, 860
10.10.10.48, 42729, 3.96739, 44.7251, -9.16732, 325, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2162, 0, 27, 145, 889
10.10.10.48, 42729, 4.93713, 41.5681, -9.27046, 1151, 0, 255, 0, 49265, FIRST_ECHO, 1078, 2099, 0, 27, 141, 840
10.10.10.48, 42729, 5.17254, 38.1475, -9.38505, 8120, 0, 0, 0, 49377, FIRST_ECHO, 1078, 2029, 0, 27, 137, 880
10.10.10.48, 42729, 5.24635, 34.7212, -9.48245, 13337, 0, 0, 0, 49249, FIRST_ECHO, 1078, 1959, 0, 27, 133, 840
10.10.10.48, 42729, 5.45929, 31.0085, -9.57985, 407, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1882, 0, 26, 128, 889
10.10.10.48, 42729, 6.01811, 27.2613, -9.67153, 1020, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1805, 0, 26, 123, 850
10.10.10.48, 42729, 7.48742, 23.0616, -9.75174, 4366, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1721, 0, 26, 117, 900
10.10.10.48, 42729, 8.65864, 18.7873, -9.8205, 1863, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1637, 0, 26, 111, 880
10.10.10.48, 42729, 10.6549, 14.4729, -9.87206, 358, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1553, 0, 25, 104, 860
10.10.10.48, 42729, 11.8957, 10.044, -9.91217, 1967, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1469, 0, 25, 98, 850
10.10.10.48, 42729, 11.8665, 5.60926, -9.94082, 386, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1385, 0, 25, 91, 840
