Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.48, 42732, 7.1406, 65.0307, -8.47405, 642, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2498, 0, 28, 162, 5210
10.10.10.48, 42732, 7.27491, 62.4409, -8.55426, 217, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2463, 0, 28, 161, 1010
10.10.10.48, 42732, 7.47954, 60.0116, -8.63447, 710, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2428, 0, 28, 159, 840
10.10.10.48, 42732, 7.72782, 57.2729, -8.72615, 293, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2386, 0, 27, 157, 889
10.10.10.48, 42732, 8.07468, 54.2362, -8.82928, 1333, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2337, 0, 27, 154, 910
10.10.10.48, 42732, 8.47717, 50.999, -8.94387, 1575, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2281, 0, 27, 151, 940
10.10.10.48, 42732, 3.74084, 47.9909, -9.05273, 305, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2225, 0, 27, 148, 860
10.10.10.48, 42732, 3.92142, 44.7251, -9.16732, 358, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2162, 0, 27, 145, 889
10.10.10.48, 42732, 4.63948, 41.5681, -9.27046, 888, 0, 255, 0, 49393, FIRST_ECHO, 1078, 2099, 0, 27, 141, 840
10.10.10.48, 42732, 4.80658, 38.1475, -9.38505, 800, 0, 255, 0, 49265, FIRST_ECHO, 1078, 2029, 0, 27, 137, 880
10.10.10.48, 42732, 5.24914, 34.7212, -9.48245, 2157, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1959, 0, 27, 133, 840
10.10.10.48, 42732, 5.27441, 31.0085, -9.57985, 908, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1882, 0, 26, 128, 889
10.10.10.48, 42732, 6.16013, 27.2613, -9.67153, 1877, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1805, 0, 26, 123, 850
10.10.10.48, 42732, 7.03586, 23.0616, -9.75174, 354, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1721, 0, 26, 117, 900
10.10.10.48, 42732, 10.6114, 18.7873, -9.8205, 1913, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1637, 0, 26, 111, 880
10.10.10.48, 42732, 11.903, 14.4729, -9.87206, 533, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1553, 0, 25, 104, 860
10.10.10.48, 42732, 11.7523, 10.044, -9.91217, 10813, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1469, 0, 25, 98, 850
10.10.10.48, 42732, 11.805, 5.60926, -9.94082, 415, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1385, 0, 25, 91, 840
10.10.10.48, 42732, 11.8896, 1.08862, -9.95228, 305, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1301, 0, 25, 84, 840
10.10.10.48, 42732, 11.9171, -3.37472, -9.94655, 396, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1217, 0, 25, 77, 840
10.10.10.48, 42732, 11.979, -7.8839, -9.92936, 11234, 0, 255, 0, 49393, FIRST_ECHO, 1078, 1133, 0, 25, 70, 840
10.10.10.48, 42732, 11.9896, -12.3415, -9.89498, 400, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1049, 0, 25, 63, 840
10.10.10.48, 42732, 12.0191, -16.6903, -9.84914, 431, 0, 255, 0, 49169, FIRST_ECHO, 1078, 965, 0, 25, 57, 860
10.10.10.48, 42732, 12.0177, -21.0104, -9.78612, 355, 0, 255, 0, 49169, FIRST_ECHO, 1078, 881, 0, 25, 50, 870
10.10.10.48, 42732, 12.056, -25.193, -9.71163, 495, 0, 255, 0, 49169, FIRST_ECHO, 1078, 797, 0, 25, 44, 889
10.10.10.48, 42732, 12.1743, -29.0203, -9.63142, 312, 0, 255, 0, 49169, FIRST_ECHO, 1078, 720, 0, 25, 39, 840
10.10.10.48, 42732, 12.289, -32.7503, -9.53975, 390, 0, 255, 0, 49169, FIRST_ECHO, 1078, 643, 0, 26, 34, 860
10.10.10.48, 42732, 12.4058, -36.4573, -9.43089, 370, 0, 255, 0, 49169, FIRST_ECHO, 1078, 566, 0, 26, 30, 900
10.10.10.48, 42732, 12.5509, -39.9008, -9.32775, 275, 0, 255, 0, 49169, FIRST_ECHO, 1078, 496, 0, 26, 26, 860
10.10.10.48, 42732, 12.5976, -43.35, -9.21316, 2902, 0, 255, 0, 49169, FIRST_ECHO, 1078, 426, 0, 26, 22, 910
10.10.10.48, 42732, 12.5451, -46.5643, -9.1043, 961, 0, 255, 0, 49169, FIRST_ECHO, 1078, 363, 0, 26, 18, 870
10.10.10.48, 42732, 12.0167, -49.9275, -8.98398, 1157, 0, 255, 0, 49169, FIRST_ECHO, 1078, 300, 0, 26, 15, 930
10.10.10.48, 42732, 11.9432, -53.0387, -8.87512, 1849, 0, 255, 0, 49169, FIRST_ECHO, 1078, 244, 0, 26, 12, 910
10.10.10.48, 42732, 11.9551, -55.9952, -8.77198, 3880, 0, 255, 0, 49169, FIRST_ECHO, 1078, 195, 0, 27, 9, 870
10.10.10.48, 42732, 11.5657, -59.1006, -8.66312, 65535, 0, 0, 0, 49153, FIRST_ECHO, 1078, 146, 0, 27, 7, 980
10.10.10.48, 42732, 11.4622, -62.0284, -8.57145, 65535, 0, 0, 0, 49153, FIRST_ECHO, 1078, 104, 0, 26, 5, 970
10.10.10.48, 42732, 11.5555, -62.5154, -8.55426, 65535, 0, 0, 0, 49153, FIRST_ECHO, 1078, 97, 0, 26, 4, 1010
10.10.10.48, 42732, 11.4558, -60.0746, -8.63447, 65535, 0, 0, 0, 49153, FIRST_ECHO, 1078, 132, 0, 26, 6, 840
10.10.10.48, 42732, 11.648, -57.3359, -8.72615, 65535, 0, 0, 0, 49153, FIRST_ECHO, 1078, 174, 0, 27, 8, 889
10.10.10.48, 42732, 11.9664, -54.2935, -8.82928, 1662, 0, 255, 0, 49169, FIRST_ECHO, 1078, 223, 0, 26, 11, 910
10.10.10.48, 42732, 11.9427, -51.0505, -8.94387, 1710, 0, 255, 0, 49169, FIRST_ECHO, 1078, 279, 0, 26, 14, 940
10.10.10.48, 42732, 12.2, -48.0425, -9.05273, 1789, 0, 255, 0, 49169, FIRST_ECHO, 1078, 335, 0, 26, 17, 860
10.10.10.48, 42732, 12.6795, -44.7709, -9.16159, 831, 0, 255, 0, 49169, FIRST_ECHO, 1078, 398, 0, 26, 20, 889
10.10.10.48, 42732, 12.577, -41.6139, -9.27046, 463, 0, 255, 0, 49169, FIRST_ECHO, 1078, 461, 0, 26, 23, 840
10.10.10.48, 42732, 12.4425, -38.1991, -9.37932, 249, 0, 255, 0, 49169, FIRST_ECHO, 1078, 531, 0, 26, 28, 880
10.10.10.48, 42732, 12.3511, -34.7671, -9.48245, 472, 0, 255, 0, 49169, FIRST_ECHO, 1078, 601, 0, 26, 32, 840
10.10.10.48, 42732, 12.1931, -31.0543, -9.57985, 348, 0, 255, 0, 49169, FIRST_ECHO, 1078, 678, 0, 25, 37, 889
10.10.10.48, 42732, 12.0972, -27.3072, -9.67153, 435, 0, 255, 0, 49169, FIRST_ECHO, 1078, 755, 0, 25, 42, 850
10.10.10.48, 42732, 12.0135, -23.1131, -9.75174, 488, 0, 255, 0, 49169, FIRST_ECHO, 1078, 839, 0, 25, 47, 900
10.10.10.48, 42732, 11.995, -18.8331, -9.8205, 403, 0, 255, 0, 49169, FIRST_ECHO, 1078, 923, 0, 25, 53, 880
10.10.10.48, 42732, 11.9735, -14.5245, -9.87206, 426, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1007, 0, 25, 60, 860
10.10.10.48, 42732, 11.9355, -10.0955, -9.91217, 446, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1091, 0, 25, 66, 850
10.10.10.48, 42732, 11.9071, -5.66082, -9.94082, 449, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1175, 0, 25, 73, 840
10.10.10.48, 42732, 11.8394, -1.14019, -9.95228, 361, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1259, 0, 25, 80, 840
10.10.10.48, 42732, 11.7929, 3.32316, -9.94655, 422, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1343, 0, 25, 87, 840
10.10.10.48, 42732, 11.717, 7.83233, -9.92936, 319, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1427, 0, 25, 94, 840
10.10.10.48, 42732, 11.7496, 12.2899, -9.89498, 432, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1511, 0, 25, 101, 840
10.10.10.48, 42732, 11.8716, 16.6387, -9.84914, 1947, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1595, 0, 26, 108, 860
10.10.10.48, 42732, 8.92835, 20.9588, -9.78612, 1521, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1679, 0, 26, 114, 870
10.10.10.48, 42732, 6.53282, 25.1471, -9.71163, 1511, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1763, 0, 26, 120, 889
10.10.10.48, 42732, 5.76299, 28.9745, -9.63142, 990, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1840, 0, 26, 125, 840
10.10.10.48, 42732, 5.24808, 32.7044, -9.53975, 2156, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1917, 0, 26, 130, 860
10.10.10.48, 42732, 5.20487, 36.4115, -9.43661, 250, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1994, 0, 27, 135, 900
10.10.10.48, 42732, 4.64587, 39.8492, -9.32775, 1689, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2064, 0, 27, 139, 860
10.10.10.48, 42732, 4.00422, 43.3041, -9.21316, 334, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2134, 0, 27, 143, 910
10.10.10.48, 42732, 3.80122, 46.5184, -9.1043, 136, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2197, 0, 27, 146, 870
10.10.10.48, 42732, 8.60758, 49.8702, -8.98398, 795, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2260, 0, 27, 150, 930
10.10.10.48, 42732, 8.24484, 52.9814, -8.87512, 1764, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2316, 0, 27, 153, 910
10.10.10.48, 42732, 7.83598, 55.9379, -8.77198, 354, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2365, 0, 27, 156, 870
10.10.10.48, 42732, 7.4717, 59.0376, -8.66885, 211, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2414, 0, 27, 158, 980
10.10.10.48, 42732, 7.36523, 61.9597, -8.57145, 1088, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2456, 0, 28, 160, 970
10.10.10.48, 42732, 7.16442, 64.5151, -8.49123, 345, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2491, 0, 28, 162, 970
10.10.10.48, 42732, 7.20113, 64.0051, -8.50842, 218, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2484, 0, 28, 162, 8610
10.10.10.48, 42732, 7.38383, 61.4784, -8.58864, 804, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2449, 0, 28, 160, 930
10.10.10.48, 42732, 7.51152, 58.5907, -8.68031, 159, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2407, 0, 27, 158, 950
10.10.10.48, 42732, 7.91125, 55.5196, -8.78917, 1484, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2358, 0, 27, 155, 959
10.10.10.48, 42732, 8.2668, 52.5918, -8.88658, 2184, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2309, 0, 27, 153, 860
10.10.10.48, 42732, 3.6642, 49.452, -9.00117, 82, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2253, 0, 27, 149, 889
10.10.10.48, 42732, 3.82599, 46.1632, -9.11576, 395, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2190, 0, 27, 146, 930
10.10.10.48, 42732, 9.38137, 42.9661, -9.22462, 1009, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2127, 0, 27, 143, 860
10.10.10.48, 42732, 3.9518, 42.9661, -9.22462, 84, 0, 255, 0, 49202, SECOND_ECHO, 1078, 2127, 0, 27, 143, 860
10.10.10.48, 42732, 4.78934, 39.4711, -9.33921, 1786, 0, 255, 0, 49393, FIRST_ECHO, 1078, 2057, 0, 27, 139, 900
10.10.10.48, 42732, 5.30769, 36.0792, -9.44234, 785, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1987, 0, 27, 135, 860
10.10.10.48, 42732, 5.41344, 32.3721, -9.54548, 1329, 0, 255, 0, 49393, FIRST_ECHO, 1078, 1910, 0, 26, 130, 900
10.10.10.48, 42732, 5.76968, 28.6422, -9.63715, 1150, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1833, 0, 26, 125, 860
10.10.10.48, 42732, 6.6405, 24.8091, -9.71736, 233, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1756, 0, 26, 119, 840
10.10.10.48, 42732, 8.93163, 20.615, -9.79185, 2656, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1672, 0, 26, 113, 889
10.10.10.48, 42732, 11.7715, 16.2892, -9.85487, 1636, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1588, 0, 26, 107, 870
10.10.10.48, 42732, 11.7259, 11.8831, -9.90071, 580, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1504, 0, 25, 100, 850
10.10.10.48, 42732, 11.7174, 7.47137, -9.92936, 421, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1420, 0, 25, 94, 840
10.10.10.48, 42732, 11.7908, 2.96219, -9.94655, 414, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1336, 0, 25, 87, 840
10.10.10.48, 42732, 11.7827, -1.50688, -9.95228, 286, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1252, 0, 25, 79, 840
10.10.10.48, 42732, 11.8842, -6.02179, -9.93509, 401, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1168, 0, 25, 73, 840
10.10.10.48, 42732, 11.9147, -10.5023, -9.91217, 338, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1084, 0, 25, 66, 840
10.10.10.48, 42732, 11.9091, -14.8797, -9.87206, 472, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1000, 0, 25, 59, 850
10.10.10.48, 42732, 11.9854, -19.2285, -9.81477, 410, 0, 255, 0, 49169, FIRST_ECHO, 1078, 916, 0, 25, 53, 860
10.10.10.48, 42732, 12.0088, -23.4512, -9.74601, 333, 0, 255, 0, 49169, FIRST_ECHO, 1078, 832, 0, 25, 47, 880
10.10.10.48, 42732, 12.0545, -27.6395, -9.66007, 361, 0, 255, 0, 49169, FIRST_ECHO, 1078, 748, 0, 25, 41, 910
10.10.10.48, 42732, 12.169, -31.3866, -9.57412, 421, 0, 255, 0, 49169, FIRST_ECHO, 1078, 671, 0, 25, 36, 850
10.10.10.48, 42732, 12.292, -35.1452, -9.47099, 422, 0, 255, 0, 49169, FIRST_ECHO, 1078, 594, 0, 26, 31, 889
10.10.10.48, 42732, 12.4016, -38.5257, -9.36786, 357, 0, 255, 0, 49169, FIRST_ECHO, 1078, 524, 0, 26, 27, 840
10.10.10.48, 42732, 12.5028, -41.952, -9.259, 314, 0, 255, 0, 49169, FIRST_ECHO, 1078, 454, 0, 26, 23, 889
10.10.10.48, 42732, 12.6204, -45.1204, -9.15014, 690, 0, 255, 0, 49169, FIRST_ECHO, 1078, 391, 0, 26, 20, 850
10.10.10.48, 42732, 12.1793, -48.4035, -9.03554, 1473, 0, 255, 0, 49169, FIRST_ECHO, 1078, 328, 0, 26, 16, 900
10.10.10.48, 42732, 11.9639, -51.486, -8.92668, 2207, 0, 255, 0, 49169, FIRST_ECHO, 1078, 272, 0, 26, 13, 860
10.10.10.48, 42732, 11.9775, -54.7003, -8.81782, 1228, 0, 255, 0, 49169, FIRST_ECHO, 1078, 216, 0, 26, 10, 950
10.10.10.48, 42732, 11.6811, -57.7713, -8.70896, 65535, 0, 0, 0, 49153, FIRST_ECHO, 1078, 167, 0, 27, 8, 930
10.10.10.48, 42732, 11.4993, -60.5387, -8.61728, 65535, 0, 0, 0, 49153, FIRST_ECHO, 1078, 125, 0, 26, 6, 910
10.10.10.48, 42732, 11.5821, -63.0024, -8.53707, 65535, 0, 0, 0, 49153, FIRST_ECHO, 1078, 90, 0, 26, 4, 870
10.10.10.48, 42732, 14.128, -64.0739, -8.50269, 235, 0, 255, 0, 49169, FIRST_ECHO, 1078, 76, 0, 26, 3, 9210
10.10.10.48, 42732, 11.4342, -61.5471, -8.58291, 65535, 0, 0, 0, 49153, FIRST_ECHO, 1078, 111, 0, 26, 5, 930
10.10.10.48, 42732, 11.4778, -58.6537, -8.68031, 65535, 0, 0, 0, 49153, FIRST_ECHO, 1078, 153, 0, 27, 7, 950
10.10.10.48, 42732, 12.0409, -55.5826, -8.78344, 1381, 0, 255, 0, 49169, FIRST_ECHO, 1078, 202, 0, 26, 10, 959
10.10.10.48, 42732, 11.9504, -52.6434, -8.88658, 2311, 0, 255, 0, 49169, FIRST_ECHO, 1078, 251, 0, 26, 12, 860
10.10.10.48, 42732, 12.049, -49.5036, -9.00117, 2243, 0, 255, 0, 49169, FIRST_ECHO, 1078, 307, 0, 26, 15, 889
